# HD23 astrodust PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 169
# lambda stride: every 1 of 1762
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  1.007967E-004  6.310000E-001  2.544108E-004
  1.007967E-004  6.683000E-001  2.694473E-004
  1.007967E-004  7.079000E-001  2.854108E-004
  1.007967E-004  7.499000E-001  3.023415E-004
  1.007967E-004  7.943000E-001  3.202393E-004
  1.007967E-004  8.414000E-001  3.392250E-004
  1.007967E-004  8.913000E-001  3.593390E-004
  1.007967E-004  9.441000E-001  3.806215E-004
  1.007967E-004  1.000000E+000  4.031529E-004
  1.007967E-004  1.059000E+000  4.269332E-004
  1.007967E-004  1.122000E+000  4.523250E-004
  1.007967E-004  1.189000E+000  4.793282E-004
  1.007967E-004  1.259000E+000  5.075397E-004
  1.007967E-004  1.334000E+000  5.377652E-004
  1.007967E-004  1.413000E+000  5.696017E-004
  1.007967E-004  1.496000E+000  6.030489E-004
  1.007967E-004  1.585000E+000  6.389126E-004
  1.007967E-004  1.679000E+000  6.767895E-004
  1.007967E-004  1.778000E+000  7.166794E-004
  1.007967E-004  1.884000E+000  7.593878E-004
  1.007967E-004  1.995000E+000  8.041085E-004
  1.007967E-004  2.114000E+000  8.520499E-004
  1.007967E-004  2.239000E+000  9.024057E-004
  1.007967E-004  2.371000E+000  9.555783E-004
  1.007967E-004  2.512000E+000  1.012373E-003
  1.007967E-004  2.661000E+000  1.072386E-003
  1.007967E-004  2.818000E+000  1.135617E-003
  1.007967E-004  2.985000E+000  1.202870E-003
  1.007967E-004  3.162000E+000  1.274145E-003
  1.007967E-004  3.350000E+000  1.349843E-003
  1.007967E-004  3.548000E+000  1.429560E-003
  1.007967E-004  3.758000E+000  1.514101E-003
  1.007967E-004  3.981000E+000  1.603867E-003
  1.007967E-004  4.217000E+000  1.698856E-003
  1.007967E-004  4.467000E+000  1.799469E-003
  1.007967E-004  4.732000E+000  1.906106E-003
  1.007967E-004  5.012000E+000  2.018765E-003
  1.016230E-004  3.162000E-004  1.304157E-007
  1.016230E-004  3.350000E-004  1.381697E-007
  1.016230E-004  3.548000E-004  1.463361E-007
  1.016230E-004  3.758000E-004  1.549974E-007
  1.016230E-004  3.981000E-004  1.641949E-007
  1.016230E-004  4.217000E-004  1.739286E-007
  1.016230E-004  4.467000E-004  1.842397E-007
  1.016230E-004  4.731000E-004  1.951283E-007
  1.016230E-004  5.012000E-004  2.067180E-007
  1.016230E-004  5.309000E-004  2.189676E-007
  1.016230E-004  5.623000E-004  2.319183E-007
  1.016230E-004  5.957000E-004  2.456940E-007
  1.016230E-004  6.310000E-004  2.602532E-007
  1.016230E-004  6.683000E-004  2.756374E-007
  1.016230E-004  7.079000E-004  2.919702E-007
  1.016230E-004  7.499000E-004  3.092929E-007
  1.016230E-004  7.943000E-004  3.276054E-007
  1.016230E-004  8.414000E-004  3.470316E-007
  1.016230E-004  8.912000E-004  3.675713E-007
  1.016230E-004  9.441000E-004  3.893896E-007
  1.016230E-004  1.000000E-003  4.124453E-007
  1.016230E-004  1.059000E-003  4.367795E-007
  1.016230E-004  1.122000E-003  4.627635E-007
  1.016230E-004  1.188000E-003  4.899848E-007
  1.016230E-004  1.259000E-003  5.192684E-007
  1.016230E-004  1.334000E-003  5.502017E-007
  1.016230E-004  1.413000E-003  5.827848E-007
  1.016230E-004  1.496000E-003  6.170177E-007
  1.016230E-004  1.585000E-003  6.537252E-007
  1.016230E-004  1.679000E-003  6.924950E-007
  1.016230E-004  1.778000E-003  7.333270E-007
  1.016230E-004  1.884000E-003  7.770461E-007
  1.016230E-004  1.995000E-003  8.228274E-007
  1.016230E-004  2.113000E-003  8.714958E-007
  1.016230E-004  2.239000E-003  9.234638E-007
  1.016230E-004  2.371000E-003  9.779064E-007
  1.016230E-004  2.512000E-003  1.036061E-006
  1.016230E-004  2.661000E-003  1.097515E-006
  1.016230E-004  2.818000E-003  1.162269E-006
  1.016230E-004  2.985000E-003  1.231147E-006
  1.016230E-004  3.162000E-003  1.304150E-006
  1.016230E-004  3.350000E-003  1.381689E-006
  1.016230E-004  3.548000E-003  1.463353E-006
  1.016230E-004  3.758000E-003  1.549966E-006
  1.016230E-004  3.981000E-003  1.641941E-006
  1.016230E-004  4.217000E-003  1.739278E-006
  1.016230E-004  4.467000E-003  1.842389E-006
  1.016230E-004  4.732000E-003  1.951687E-006
  1.016230E-004  5.012000E-003  2.067171E-006
  1.016230E-004  5.309000E-003  2.189667E-006
  1.016230E-004  5.623000E-003  2.319174E-006
  1.016230E-004  5.957000E-003  2.456930E-006
  1.016230E-004  6.310000E-003  2.602523E-006
  1.016230E-004  6.683000E-003  2.756364E-006
  1.016230E-004  7.079000E-003  2.919691E-006
  1.016230E-004  7.499000E-003  3.092918E-006
  1.016230E-004  7.943000E-003  3.276042E-006
  1.016230E-004  8.414000E-003  3.470303E-006
  1.016230E-004  8.912000E-003  3.675700E-006
  1.016230E-004  9.441000E-003  3.893882E-006
  1.016230E-004  1.000000E-002  4.124437E-006
  1.016230E-004  1.059000E-002  4.367779E-006
  1.016230E-004  1.122000E-002  4.627617E-006
  1.016230E-004  1.189000E-002  4.903954E-006
  1.016230E-004  1.259000E-002  5.192663E-006
  1.016230E-004  1.333000E-002  5.497871E-006
  1.016230E-004  1.412000E-002  5.823700E-006
  1.016230E-004  1.496000E-002  6.170151E-006
  1.016230E-004  1.585000E-002  6.537224E-006
  1.016230E-004  1.679000E-002  6.924919E-006
  1.016230E-004  1.778000E-002  7.333236E-006
  1.016230E-004  1.884000E-002  7.770424E-006
  1.016230E-004  1.995000E-002  8.228233E-006
  1.016230E-004  2.114000E-002  8.719037E-006
  1.016230E-004  2.239000E-002  9.234588E-006
  1.016230E-004  2.371000E-002  9.779009E-006
  1.016230E-004  2.512000E-002  1.036055E-005
  1.016230E-004  2.661000E-002  1.097508E-005
  1.016230E-004  2.818000E-002  1.162261E-005
  1.016230E-004  2.985000E-002  1.231139E-005
  1.016230E-004  3.162000E-002  1.304140E-005
  1.016230E-004  3.350000E-002  1.381679E-005
  1.016230E-004  3.548000E-002  1.463342E-005
  1.016230E-004  3.758000E-002  1.549953E-005
  1.016230E-004  3.981000E-002  1.641927E-005
  1.016230E-004  4.217000E-002  1.739262E-005
  1.016230E-004  4.467000E-002  1.842371E-005
  1.016230E-004  4.732000E-002  1.951667E-005
  1.016230E-004  5.012000E-002  2.067149E-005
  1.016230E-004  5.309000E-002  2.189642E-005
  1.016230E-004  5.623000E-002  2.319146E-005
  1.016230E-004  5.957000E-002  2.456899E-005
  1.016230E-004  6.310000E-002  2.602488E-005
  1.016230E-004  6.683000E-002  2.756325E-005
  1.016230E-004  7.079000E-002  2.919648E-005
  1.016230E-004  7.499000E-002  3.092869E-005
  1.016230E-004  7.943000E-002  3.275987E-005
  1.016230E-004  8.414000E-002  3.470241E-005
  1.016230E-004  8.912000E-002  3.675631E-005
  1.016230E-004  9.441000E-002  3.893805E-005
  1.016230E-004  1.000000E-001  4.124351E-005
  1.016230E-004  1.059000E-001  4.367681E-005
  1.016230E-004  1.122000E-001  4.627508E-005
