# Extinction, albedo, and scattering asymmetry for the
# Hensley & Draine (2023) astrodust+PAH Milky-Way model.
#
# Astrodust grains: random-orientation T-matrix optics
#   (Draine & Hensley 2021 dielectric, P=0.20, fFe=0, b/a=1.4);
#   Cabs, Csca and <cos> from the T-matrix Q table.
# PAH: charge-resolved DL07 absorption (neutral+cation by f_ion,
#   100 A -> 100% ionized); PAH scattering is negligible and not
#   modelled, so PAH adds to extinction via absorption only.
# Size integral over the HD23 release size distribution (per H).
# Computed from the SED pipeline optics (sed_init), all components.
# Dust mass per H, M_dust/N_H =  1.184949E-26 g/H  (rho_Ad=2.74, rho_PAH=2.0 g/cm^3; K_abs = C_abs/H / this).
#
#        lambda     albedo      <cos>         C_ext/H         C_abs/H         C_sca/H           K_abs
#      (micron)                              (cm^2/H)        (cm^2/H)        (cm^2/H)        (cm^2/g)
 1.2106240E-003   0.901975   0.000421  6.1271238E-022  6.0060902E-023  5.5265148E-022  5.0686477E+003
 1.2106830E-003   0.901979   0.000421  6.1271250E-022  6.0058970E-023  5.5265353E-022  5.0684847E+003
 1.2107190E-003   0.901980   0.000421  6.1271262E-022  6.0057814E-023  5.5265481E-022  5.0683872E+003
 1.2107300E-003   0.901981   0.000421  6.1271267E-022  6.0057423E-023  5.5265524E-022  5.0683541E+003
 1.2107540E-003   0.902289   0.000421  6.1269608E-022  5.9867176E-023  5.5282890E-022  5.0522989E+003
 1.2107660E-003   0.902290   0.000421  6.1269610E-022  5.9866791E-023  5.5282931E-022  5.0522664E+003
 1.2108010E-003   0.902291   0.000421  6.1269613E-022  5.9865635E-023  5.5283050E-022  5.0521688E+003
 1.2108600E-003   0.902295   0.000421  6.1269628E-022  5.9863706E-023  5.5283258E-022  5.0520060E+003
 1.2109790E-003   0.902240   0.000422  6.1270024E-022  5.9897771E-023  5.5280247E-022  5.0548808E+003
 1.2113340E-003   0.902197   0.000421  6.1270399E-022  5.9924105E-023  5.5277988E-022  5.0571032E+003
 1.2119260E-003   0.902106   0.000422  6.1271191E-022  5.9980548E-023  5.5273136E-022  5.0618665E+003
 1.2154900E-003   0.901565   0.000424  6.1275973E-022  6.0317120E-023  5.5244261E-022  5.0902705E+003
 1.2398000E-003   0.897749   0.000441  6.1309065E-022  6.2689006E-023  5.5040164E-022  5.2904382E+003
 1.2651020E-003   0.884093   0.000585  5.6051309E-022  6.4967302E-023  4.9554579E-022  5.4827077E+003
 1.2914580E-003   0.879609   0.000608  5.6093198E-022  6.7531177E-023  4.9340080E-022  5.6990777E+003
 1.3189360E-003   0.874879   0.000631  5.6138653E-022  7.0241156E-023  4.9114538E-022  5.9277777E+003
 1.3476090E-003   0.858464   0.001341  5.1456520E-022  7.2829577E-023  4.4173562E-022  6.1462193E+003
