# model = zubko_BARE_GR_S_euv
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Zubko, Dwek & Arendt (2004) BARE-GR-S dust model.
#
# Model definition: ZDA 2004, ApJS 152, 211, bare grains, PAH +
#   graphite + silicate; the files are the copies distributed with the
#   Camps et al. (2015) radiative-transfer benchmark.
# Optics (all three components): the ZDA optics tables
#   ../data/zubko/PAH_28_1201_neu.dat, Gra_121_1201.dat, suvSil_121_1201.dat
#   A HOMOGENEOUS-SPHERE Mie calculation: ZDA 2004 sec. 3 says so for
#   the bare grains (that paper's effective-medium step belongs to its
#   COMPOSITE models), and each file names the dielectric function it
#   came from -- Draine's eps_Sil and eps_Gra.  The PAH file is not Mie:
#   it names the Li & Draine (2001) / Draine & Li (2007) cross sections.
#   Checked against Bohren-Huffman Mie on the published eps_Sil: at
#   fixed wavelength the Q ratio is radius-independent to 4 digits over
#   3.55e-4 - 100 um and <cos> agrees to ~1e-4, leaving a 0.5-2% infrared
#   residual that lies in the refractive index (the published file is on
#   a different wavelength grid).  So Q_sca and <cos> are read from the
#   same file as Q_abs rather than recomputed.
# Size distribution: the ZDA log-polynomial FORMULA evaluated on the
#   optics-table radii, with the coefficients read from
#   ../data/zubko/ZDA_BARE_GR_S_Config.dat
#
# Wavelength range:  1.000000E-03 -  1.000000E+04 um, 1201 points.
#   The range is the ZDA optics table itself, 1.24 keV down to 1.24e-4 eV.
#   This model needs no EUV EXTENSION and could not have one: its
#   tabulated optics already cover the whole ionizing band, and those
#   tables ARE the model definition, so there is no dielectric
#   function to extend them with.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.443932E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: the Density entry in the header of each component's own ZDA optics table.
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 1.830210000000E-003  4.606670273391E-001  9.996439450751E-001  1.576680637424E-022  8.503558551188E-023  7.263247823052E-023  5.889167667751E+003
 1.854950000000E-003  4.620107010234E-001  9.996333882563E-001  1.627841945790E-022  8.757615472603E-023  7.520803985298E-023  6.065115630990E+003
 1.880040000000E-003  4.631973172481E-001  9.996224343473E-001  1.678005148704E-022  9.007576654957E-023  7.772474832082E-023  6.238227076563E+003
 1.905460000000E-003  4.621986952148E-001  9.996113804214E-001  1.722873294240E-022  9.265635056218E-023  7.963097886182E-023  6.416946277936E+003
 1.931230000000E-003  4.607624120429E-001  9.995999540772E-001  1.770056425196E-022  9.544809572705E-023  8.155754679251E-023  6.610289514919E+003
 1.957340000000E-003  4.585297947181E-001  9.995882514177E-001  1.815873834103E-022  9.832415777180E-023  8.326322563854E-023  6.809472145372E+003
 1.983810000000E-003  4.562245230908E-001  9.995762537136E-001  1.860645995389E-022  1.011773663502E-022  8.488723318872E-023  7.007072051434E+003
 2.010640000000E-003  4.537492625759E-001  9.995639496561E-001  1.904567633667E-022  1.040371474365E-022  8.641961593021E-023  7.205127138711E+003
 2.037820000000E-003  4.509594494513E-001  9.995512725746E-001  1.947595512298E-022  1.069308912318E-022  8.782865999796E-023  7.405534324664E+003
 2.065380000000E-003  4.483730539584E-001  9.995382636446E-001  1.989853564394E-022  1.097656844797E-022  8.921967195972E-023  7.601858870907E+003
 2.093310000000E-003  4.448691699283E-001  9.995244847123E-001  2.035608968365E-022  1.130029296310E-022  9.055796720551E-023  7.826055357153E+003
 2.121620000000E-003  4.416240147006E-001  9.995103923794E-001  2.081923898631E-022  1.162496308216E-022  9.194275904145E-023  8.050906724539E+003
 2.150300000000E-003  4.388166878979E-001  9.994958855021E-001  2.129237638905E-022  1.194892630453E-022  9.343450084516E-023  8.275268528274E+003
 2.179380000000E-003  4.380803502593E-001  9.994786873532E-001  2.196362083864E-022  1.234179012868E-022  9.621830709952E-023  8.547347672212E+003
 2.208850000000E-003  4.222347595132E-001  9.994441307608E-001  2.357485335412E-022  1.362073081759E-022  9.954122536537E-023  9.433082286575E+003
 2.238720000000E-003  3.686926364002E-001  9.994183766713E-001  2.407659729077E-022  1.519973316009E-022  8.876864130682E-023  1.052662559398E+004
 2.268990000000E-003  3.609118665190E-001  9.993864356875E-001  2.536540764163E-022  1.621073102468E-022  9.154676616957E-023  1.122679551701E+004
 2.299680000000E-003  3.409477245330E-001  9.993167313930E-001  2.830448387885E-022  1.865413450627E-022  9.650349372572E-023  1.291898269918E+004
 2.330770000000E-003  4.157151307786E-001  9.994726399533E-001  1.639086333839E-022  9.576933442098E-023  6.813929896293E-023  6.632537007172E+003
 2.362290000000E-003  4.908719977111E-001  9.994762244134E-001  1.747910110552E-022  8.899099827659E-023  8.580001277861E-023  6.163101090168E+003
 2.394230000000E-003  5.079746533011E-001  9.994627346498E-001  1.862878162616E-022  9.165832738190E-023  9.462948887970E-023  6.347827851696E+003
 2.426610000000E-003  5.155379476984E-001  9.994478159403E-001  1.947228896134E-022  9.433585073222E-023  1.003870388812E-022  6.533260619042E+003
 2.459420000000E-003  5.226045828692E-001  9.994320259575E-001  2.030999360741E-022  9.695897870135E-023  1.061409573728E-022  6.714926216230E+003
 2.492680000000E-003  5.268552368077E-001  9.994152174942E-001  2.109610689048E-022  9.981512498977E-023  1.111459439151E-022  6.912729574375E+003
 2.526390000000E-003  5.273240468658E-001  9.993976817208E-001  2.180203231759E-022  1.030529640598E-022  1.149673591161E-022  7.136967192659E+003
 2.560550000000E-003  5.278273189059E-001  9.993794121155E-001  2.249615219975E-022  1.062206849846E-022  1.187408370129E-022  7.356348755546E+003
 2.595180000000E-003  5.278635177128E-001  9.993606082691E-001  2.316742411671E-022  1.093818612612E-022  1.222923799059E-022  7.575277066656E+003
 2.630270000000E-003  5.270664493827E-001  9.993414218718E-001  2.380578617840E-022  1.125855498259E-022  1.254723119581E-022  7.797149580370E+003
 2.665840000000E-003  5.263567601222E-001  9.993217887153E-001  2.443227507007E-022  1.157218192177E-022  1.286009314830E-022  8.014352956917E+003
 2.701880000000E-003  5.255983789556E-001  9.993015125020E-001  2.504741350330E-022  1.188253356893E-022  1.316487993436E-022  8.229288019115E+003
 2.738420000000E-003  5.243731658070E-001  9.992805113606E-001  2.565390242067E-022  1.220168439304E-022  1.345221802763E-022  8.450316980476E+003
 2.775450000000E-003  5.222845696430E-001  9.992585023298E-001  2.628090028870E-022  1.255479159159E-022  1.372610869711E-022  8.694862541541E+003
 2.812980000000E-003  5.195943602181E-001  9.992355526964E-001  2.692206225758E-022  1.293351054310E-022  1.398855171448E-022  8.957145607037E+003
 2.851020000000E-003  5.167170000717E-001  9.992113447469E-001  2.756619446730E-022  1.332227315876E-022  1.424392130854E-022  9.226384445437E+003
 2.889570000000E-003  5.139950260365E-001  9.991865897791E-001  2.819899392905E-022  1.370485131029E-022  1.449414261877E-022  9.491340212693E+003
 2.928640000000E-003  5.114649157303E-001  9.991614070175E-001  2.881839865975E-022  1.407879881776E-022  1.473959984199E-022  9.750318798796E+003
 2.968250000000E-003  5.089500662566E-001  9.991354111162E-001  2.943480909488E-022  1.445396105579E-022  1.498084803909E-022  1.001013865058E+004
 3.008380000000E-003  5.063836176566E-001  9.991082671795E-001  3.005187479390E-022  1.483409771840E-022  1.521777707550E-022  1.027340355659E+004
 3.049070000000E-003  5.039791877875E-001  9.990804479555E-001  3.065580589060E-022  1.520591773688E-022  1.544988815372E-022  1.053090874314E+004
 3.090300000000E-003  5.017226278190E-001  9.990518815636E-001  3.124651917521E-022  1.556943346443E-022  1.567708571078E-022  1.078266276547E+004
 3.132080000000E-003  4.984422948300E-001  9.990212223167E-001  3.188456224164E-022  1.599194786827E-022  1.589261437338E-022  1.107527651668E+004
 3.174440000000E-003  4.950538534284E-001  9.989891680958E-001  3.252585092463E-022  1.642380308835E-022  1.610204783627E-022  1.137435928114E+004
 3.217360000000E-003  4.918840765444E-001  9.989566414070E-001  3.315276216793E-022  1.684544636406E-022  1.630731580387E-022  1.166636972967E+004
 3.260870000000E-003  4.889107395992E-001  9.989235070596E-001  3.376600961388E-022  1.725744488025E-022  1.650856473364E-022  1.195170066802E+004
 3.304960000000E-003  4.849865516182E-001  9.988879539668E-001  3.442379320044E-022  1.772871644254E-022  1.669507675790E-022  1.227808135096E+004
 3.349650000000E-003  4.812684750241E-001  9.988514774477E-001  3.506958338804E-022  1.819169847115E-022  1.687788491689E-022  1.259872108986E+004
 3.394950000000E-003  4.777848683351E-001  9.988139467769E-001  3.570119969317E-022  1.864370669836E-022  1.705749299481E-022  1.291176088623E+004
 3.440860000000E-003  4.745151136623E-001  9.987755098787E-001  3.631893080361E-022  1.908504922524E-022  1.723388157837E-022  1.321741411647E+004
 3.487390000000E-003  4.702536804888E-001  9.987339990413E-001  3.697689449537E-022  1.958837376588E-022  1.738852072950E-022  1.356599319584E+004
 3.534540000000E-003  4.661872854450E-001  9.986912072905E-001  3.762452401335E-022  2.008444929741E-022  1.754007471594E-022  1.390955194991E+004
 3.582340000000E-003  4.623786665144E-001  9.986478087457E-001  3.825855789548E-022  2.056861691300E-022  1.768994098248E-022  1.424486383733E+004
 3.630780000000E-003  4.588065553383E-001  9.986035037932E-001  3.887912665634E-022  2.104112848058E-022  1.783799817576E-022  1.457210329004E+004
 3.679880000000E-003  4.554829853130E-001  9.985568126010E-001  3.950089873283E-022  2.150891145545E-022  1.799198727738E-022  1.489606794020E+004
 3.729640000000E-003  4.523685373787E-001  9.985085053516E-001  4.011556753647E-022  2.196854692388E-022  1.814702061259E-022  1.521439000776E+004
 3.780070000000E-003  4.494800225462E-001  9.984569371573E-001  4.081603275366E-022  2.247004143130E-022  1.834599132236E-022  1.556170169155E+004
 3.831190000000E-003  4.468313604286E-001  9.984018296156E-001  4.161769104576E-022  2.302160153789E-022  1.859608950788E-022  1.594368647204E+004
 3.882990000000E-003  4.422884408896E-001  9.983391233393E-001  4.266514946083E-022  2.379484702548E-022  1.887030243535E-022  1.647920019813E+004
 3.935500000000E-003  4.289624173907E-001  9.982426970227E-001  4.500203175295E-022  2.569785142471E-022  1.930418032824E-022  1.779713220413E+004
 3.988720000000E-003  4.079148369684E-001  9.981428539073E-001  4.736295365350E-022  2.804290213559E-022  1.932005151791E-022  1.942120484885E+004
 4.042660000000E-003  3.931002262475E-001  9.981060345713E-001  4.742038326594E-022  2.877941987535E-022  1.864096339058E-022  1.993128265141E+004
 4.097320000000E-003  3.998512095329E-001  9.981063714440E-001  4.502885255587E-022  2.702401139753E-022  1.800484115834E-022  1.871556869012E+004
 4.152730000000E-003  4.063133415019E-001  9.980430191739E-001  4.555958929197E-022  2.704812032930E-022  1.851146896268E-022  1.873226541075E+004
 4.208880000000E-003  3.824917790342E-001  9.978960209343E-001  4.988746468345E-022  3.080591956517E-022  1.908154511828E-022  2.133474173035E+004
 4.265800000000E-003  4.104488533102E-001  9.979623145956E-001  4.072551027072E-022  2.400977127963E-022  1.671573899109E-022  1.662804670291E+004
 4.323480000000E-003  3.916131017549E-001  9.977989591025E-001  4.904747092444E-022  2.983983870249E-022  1.920763222195E-022  2.066567922591E+004
 4.381940000000E-003  5.694996609533E-001  9.979195459028E-001  3.084584745373E-022  1.327914778701E-022  1.756669966671E-022  9.196517826252E+003
 4.441200000000E-003  5.357865059668E-001  9.976831203532E-001  2.856812850696E-022  1.326171075220E-022  1.530641775476E-022  9.184441749982E+003
 4.501250000000E-003  5.365868888496E-001  9.976242329733E-001  2.928652037899E-022  1.357175752360E-022  1.571476285539E-022  9.399165669454E+003
 4.562120000000E-003  5.400790178693E-001  9.975786234203E-001  3.017154547710E-022  1.387652682823E-022  1.629501864887E-022  9.610234661827E+003
 4.623810000000E-003  5.430315177704E-001  9.975284197247E-001  3.105280491485E-022  1.419015313091E-022  1.686265178394E-022  9.827437597559E+003
 4.686340000000E-003  5.449703226332E-001  9.974710530507E-001  3.188994400992E-022  1.451087093408E-022  1.737907307584E-022  1.004955177547E+004
 4.749710000000E-003  5.475342576056E-001  9.974153034781E-001  3.276118315948E-022  1.482331305998E-022  1.793787009951E-022  1.026593460564E+004
 4.813930000000E-003  5.482267378350E-001  9.973481974642E-001  3.354902229166E-022  1.515655124315E-022  1.839247104851E-022  1.049671981424E+004
 4.879030000000E-003  5.482307338138E-001  9.972767594257E-001  3.429432770771E-022  1.549312326286E-022  1.880120444485E-022  1.072981388238E+004
 4.945000000000E-003  5.484758619608E-001  9.972054093427E-001  3.503905527095E-022  1.582097922892E-022  1.921807604202E-022  1.095687161866E+004
 5.011870000000E-003  5.485784816001E-001  9.971296589543E-001  3.581166708749E-022  1.616615713307E-022  1.964550995442E-022  1.119592572060E+004
 5.079640000000E-003  5.487888927946E-001  9.970523474885E-001  3.658861630457E-022  1.650919007390E-022  2.007942623067E-022  1.143349432108E+004
 5.148330000000E-003  5.491727766080E-001  9.969739450027E-001  3.736085705943E-022  1.684329145165E-022  2.051756560778E-022  1.166487733793E+004
 5.217950000000E-003  5.482922311548E-001  9.968886634278E-001  3.808861356710E-022  1.720492265280E-022  2.088369091430E-022  1.191532622526E+004
 5.288510000000E-003  5.471152146586E-001  9.967994049158E-001  3.879411147735E-022  1.756926284893E-022  2.122484862842E-022  1.216765123604E+004
 5.360020000000E-003  5.461101336544E-001  9.967091895766E-001  3.949002437983E-022  1.792412188775E-022  2.156590249209E-022  1.241341003989E+004
 5.432500000000E-003  5.449414638616E-001  9.966160856743E-001  4.019445138163E-022  1.829082820661E-022  2.190362317502E-022  1.266737371682E+004
 5.505960000000E-003  5.437102016402E-001  9.965200891328E-001  4.090171161794E-022  1.866303374672E-022  2.223867787122E-022  1.292514589765E+004
 5.580420000000E-003  5.426367202693E-001  9.964224752684E-001  4.159821267228E-022  1.902549497873E-022  2.257271769355E-022  1.317616962560E+004
 5.655880000000E-003  5.414710080769E-001  9.963213992705E-001  4.229544730387E-022  1.939368881518E-022  2.290175848869E-022  1.343116348777E+004
 5.732360000000E-003  5.398270459376E-001  9.962129137077E-001  4.301263929336E-022  1.979325328565E-022  2.321938600772E-022  1.370788318652E+004
