# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  9.22600E-001   1.25544E-028   2.71426E-030   1.22830E-028
  9.33300E-001   1.39399E-028   2.89231E-030   1.36507E-028
  9.44100E-001   1.55675E-028   3.07791E-030   1.52598E-028
  9.55000E-001   1.75313E-028   3.27266E-030   1.72040E-028
  9.66100E-001   2.00102E-028   3.47731E-030   1.96625E-028
  9.77200E-001   2.32245E-028   3.68755E-030   2.28558E-028
  9.88600E-001   2.77584E-028   3.90453E-030   2.73680E-028
  1.00000E+000   3.44134E-028   4.13325E-030   3.40000E-028
  1.01200E+000   4.54895E-028   4.40522E-030   4.50490E-028
  1.02300E+000   6.18746E-028   4.66436E-030   6.14081E-028
  1.03500E+000   8.85338E-028   4.95717E-030   8.80381E-028
  1.04700E+000   1.14725E-027   5.26206E-030   1.14198E-027
  1.05900E+000   1.17389E-027   5.57799E-030   1.16831E-027
  1.07100E+000   1.00664E-027   5.90466E-030   1.00074E-027
  1.08400E+000   8.30128E-028   6.27304E-030   8.23855E-028
  1.09700E+000   7.22334E-028   6.65404E-030   7.15680E-028
  1.10900E+000   6.70674E-028   7.01778E-030   6.63656E-028
  1.12200E+000   6.48667E-028   7.42544E-030   6.41241E-028
  1.13500E+000   6.50857E-028   7.84763E-030   6.43010E-028
  1.14800E+000   6.71463E-028   8.28252E-030   6.63180E-028
  1.16100E+000   7.08364E-028   8.73203E-030   6.99632E-028
  1.17500E+000   7.66687E-028   9.23075E-030   7.57456E-028
  1.18900E+000   8.46517E-028   9.74568E-030   8.36772E-028
  1.20200E+000   9.42669E-028   1.02351E-029   9.32433E-028
  1.21600E+000   1.07072E-027   1.07773E-029   1.05995E-027
  1.23000E+000   1.21827E-027   1.13319E-029   1.20694E-027
  1.24500E+000   1.37623E-027   1.19403E-029   1.36429E-027
  1.25900E+000   1.49112E-027   1.25191E-029   1.47860E-027
  1.27300E+000   1.55029E-027   1.31071E-029   1.53718E-027
  1.28800E+000   1.55272E-027   1.37504E-029   1.53897E-027
  1.30300E+000   1.51732E-027   1.44026E-029   1.50292E-027
  1.31800E+000   1.47086E-027   1.50667E-029   1.45579E-027
  1.33400E+000   1.42730E-027   1.57885E-029   1.41151E-027
  1.34900E+000   1.39854E-027   1.64714E-029   1.38207E-027
  1.36500E+000   1.38103E-027   1.72126E-029   1.36382E-027
  1.38000E+000   1.37605E-027   1.79150E-029   1.35813E-027
  1.39600E+000   1.38046E-027   1.86750E-029   1.36179E-027
  1.41300E+000   1.39420E-027   1.94937E-029   1.37470E-027
  1.42900E+000   1.41390E-027   2.02726E-029   1.39363E-027
  1.44500E+000   1.43888E-027   2.10576E-029   1.41782E-027
  1.46200E+000   1.46985E-027   2.19007E-029   1.44795E-027
  1.47900E+000   1.50480E-027   2.27524E-029   1.48205E-027
  1.49600E+000   1.54265E-027   2.36139E-029   1.51904E-027
  1.51400E+000   1.58567E-027   2.45342E-029   1.56113E-027
  1.53100E+000   1.62837E-027   2.54156E-029   1.60295E-027
  1.54900E+000   1.67518E-027   2.63540E-029   1.64883E-027
  1.56700E+000   1.72408E-027   2.72974E-029   1.69678E-027
  1.58500E+000   1.77398E-027   2.82518E-029   1.74573E-027
  1.60300E+000   1.82515E-027   2.92192E-029   1.79593E-027
  1.62200E+000   1.88029E-027   3.02459E-029   1.85005E-027
  1.64100E+000   1.93578E-027   3.12821E-029   1.90449E-027
  1.66000E+000   1.99195E-027   3.23309E-029   1.95962E-027
  1.67900E+000   2.04812E-027   3.33897E-029   2.01473E-027
  1.69800E+000   2.10360E-027   3.44588E-029   2.06914E-027
