# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  4.84200E+000   8.24851E-027   2.00300E-028   8.04821E-027
  4.89800E+000   8.47735E-027   2.02157E-028   8.27520E-027
  4.95500E+000   8.77816E-027   2.03980E-028   8.57418E-027
  5.01200E+000   9.19124E-027   2.05752E-028   8.98549E-027
  5.07000E+000   9.83006E-027   2.07498E-028   9.62256E-027
  5.12900E+000   1.09547E-026   2.09235E-028   1.07455E-026
  5.18800E+000   1.31450E-026   2.10907E-028   1.29341E-026
  5.24800E+000   1.65381E-026   2.12552E-028   1.63256E-026
  5.30900E+000   1.64359E-026   2.14187E-028   1.62217E-026
  5.37000E+000   1.42706E-026   2.15754E-028   1.40549E-026
  5.43200E+000   1.36714E-026   2.17312E-028   1.34541E-026
  5.49500E+000   1.44348E-026   2.18939E-028   1.42159E-026
  5.55900E+000   1.67178E-026   2.20461E-028   1.64974E-026
  5.62300E+000   2.15378E-026   2.21915E-028   2.13159E-026
  5.68800E+000   2.78290E-026   2.23375E-028   2.76057E-026
  5.75400E+000   2.66014E-026   2.24794E-028   2.63766E-026
  5.82100E+000   2.37592E-026   2.26108E-028   2.35331E-026
  5.88800E+000   2.46817E-026   2.27486E-028   2.44542E-026
  5.95700E+000   2.96334E-026   2.28854E-028   2.94046E-026
  6.02600E+000   4.10016E-026   2.30195E-028   4.07714E-026
  6.09500E+000   6.72468E-026   2.31400E-028   6.70154E-026
  6.16600E+000   1.28718E-025   2.32722E-028   1.28485E-025
  6.23700E+000   1.66204E-025   2.33910E-028   1.65970E-025
  6.31000E+000   1.00860E-025   2.35105E-028   1.00624E-025
  6.38300E+000   6.25028E-026   2.36295E-028   6.22665E-026
  6.45700E+000   4.88649E-026   2.37477E-028   4.86274E-026
  6.53100E+000   4.59331E-026   2.38547E-028   4.56946E-026
  6.60700E+000   4.77378E-026   2.39661E-028   4.74981E-026
  6.68300E+000   5.01199E-026   2.40702E-028   4.98792E-026
  6.76100E+000   5.02777E-026   2.42056E-028   5.00357E-026
  6.83900E+000   4.93283E-026   2.48058E-028   4.90803E-026
  6.91800E+000   4.97922E-026   2.44802E-028   4.95474E-026
  6.99800E+000   5.28635E-026   2.44794E-028   5.26187E-026
  7.08000E+000   5.89516E-026   2.45693E-028   5.87060E-026
  7.16100E+000   6.80343E-026   2.46654E-028   6.77877E-026
  7.24400E+000   8.09737E-026   2.47578E-028   8.07262E-026
  7.32800E+000   9.92435E-026   2.48381E-028   9.89952E-026
  7.41300E+000   1.26971E-025   2.49261E-028   1.26722E-025
  7.49900E+000   1.70254E-025   2.50149E-028   1.70004E-025
  7.58600E+000   2.14434E-025   2.50885E-028   2.14183E-025
  7.67400E+000   2.18642E-025   2.51706E-028   2.18390E-025
  7.76200E+000   2.13196E-025   2.51745E-028   2.12944E-025
  7.85200E+000   2.06909E-025   2.52887E-028   2.06656E-025
  7.94300E+000   1.71959E-025   2.56376E-028   1.71702E-025
  8.03500E+000   1.29528E-025   2.62634E-028   1.29265E-025
  8.12800E+000   1.00920E-025   2.71630E-028   1.00648E-025
  8.22200E+000   8.63554E-026   2.84086E-028   8.60713E-026
  8.31800E+000   8.10737E-026   3.03728E-028   8.07700E-026
  8.41400E+000   8.22897E-026   3.22023E-028   8.19677E-026
  8.51100E+000   9.41951E-026   3.39377E-028   9.38557E-026
  8.61000E+000   1.05060E-025   3.49691E-028   1.04710E-025
  8.71000E+000   8.41101E-026   3.68393E-028   8.37418E-026
  8.81100E+000   5.97176E-026   4.04431E-028   5.93131E-026
  8.91300E+000   4.57252E-026   4.41240E-028   4.52839E-026
  9.01600E+000   3.79735E-026   4.75479E-028   3.74980E-026
  9.12000E+000   3.33442E-026   5.12562E-028   3.28316E-026
  9.22600E+000   3.03557E-026   5.51449E-028   2.98042E-026
  9.33300E+000   2.83588E-026   5.87174E-028   2.77716E-026
  9.44100E+000   2.69903E-026   6.15893E-028   2.63744E-026
