# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  4.89800E-001   1.47811E-030   1.34137E-032   1.46470E-030
  4.95400E-001   1.53917E-030   1.53557E-032   1.52381E-030
  5.01200E-001   1.61131E-030   1.76022E-032   1.59370E-030
  5.07000E-001   1.69776E-030   2.01130E-032   1.67765E-030
  5.12900E-001   1.80525E-030   2.29559E-032   1.78230E-030
  5.18800E-001   1.93494E-030   2.61138E-032   1.90883E-030
  5.24800E-001   2.08931E-030   2.96735E-032   2.05963E-030
  5.30900E-001   2.26658E-030   3.36848E-032   2.23290E-030
  5.37000E-001   2.45909E-030   3.81165E-032   2.42097E-030
  5.43300E-001   2.66621E-030   4.31731E-032   2.62304E-030
  5.49500E-001   2.86962E-030   4.86566E-032   2.82096E-030
  5.55900E-001   3.07240E-030   5.48775E-032   3.01752E-030
  5.62300E-001   3.26848E-030   6.17144E-032   3.20677E-030
  5.68800E-001   3.47032E-030   6.93264E-032   3.40099E-030
  5.75400E-001   3.69202E-030   7.77887E-032   3.61423E-030
  5.82100E-001   3.94709E-030   8.71822E-032   3.85991E-030
  5.88800E-001   4.24307E-030   9.74340E-032   4.14564E-030
  5.95700E-001   4.59994E-030   1.08942E-031   4.49100E-030
  6.02600E-001   5.01545E-030   1.21460E-031   4.89399E-030
  6.09500E-001   5.49025E-030   1.35062E-031   5.35519E-030
  6.16600E-001   6.03589E-030   1.50230E-031   5.88566E-030
  6.23700E-001   6.63147E-030   1.66629E-031   6.46484E-030
  6.31000E-001   7.28212E-030   1.84907E-031   7.09721E-030
  6.38300E-001   7.95770E-030   2.04607E-031   7.75310E-030
  6.45700E-001   8.65167E-030   2.26137E-031   8.42553E-030
  6.53100E-001   9.34224E-030   2.49306E-031   9.09293E-030
  6.60700E-001   1.00407E-029   2.74931E-031   9.76577E-030
  6.68300E-001   1.07351E-029   3.02467E-031   1.04326E-029
  6.76100E-001   1.14675E-029   3.32751E-031   1.11347E-029
  6.83900E-001   1.22528E-029   3.65211E-031   1.18876E-029
  6.91800E-001   1.31314E-029   4.00336E-031   1.27310E-029
  6.99800E-001   1.41333E-029   4.38351E-031   1.36950E-029
  7.07900E-001   1.52853E-029   4.79370E-031   1.48059E-029
  7.16100E-001   1.66070E-029   5.23602E-031   1.60834E-029
  7.24400E-001   1.81117E-029   5.71373E-031   1.75403E-029
  7.32800E-001   1.97989E-029   6.22604E-031   1.91763E-029
  7.41300E-001   2.16700E-029   6.77619E-031   2.09924E-029
  7.49900E-001   2.37240E-029   7.36613E-031   2.29874E-029
  7.58600E-001   2.59687E-029   7.99849E-031   2.51688E-029
  7.67400E-001   2.84162E-029   8.67418E-031   2.75488E-029
  7.76300E-001   3.10966E-029   9.39654E-031   3.01569E-029
  7.85200E-001   3.40064E-029   1.01592E-030   3.29905E-029
  7.94300E-001   3.72339E-029   1.09795E-030   3.61360E-029
  8.03500E-001   4.07882E-029   1.18533E-030   3.96029E-029
  8.12800E-001   4.46940E-029   1.27806E-030   4.34160E-029
  8.22200E-001   4.89830E-029   1.37634E-030   4.76067E-029
  8.31800E-001   5.37408E-029   1.48160E-030   5.22592E-029
  8.41400E-001   5.89103E-029   1.59198E-030   5.73183E-029
  8.51100E-001   6.45796E-029   1.70851E-030   6.28711E-029
  8.61000E-001   7.08662E-029   1.83294E-030   6.90333E-029
  8.71000E-001   7.77790E-029   1.96404E-030   7.58149E-029
  8.81000E-001   8.53258E-029   2.10122E-030   8.32246E-029
  8.91300E-001   9.38421E-029   2.24807E-030   9.15940E-029
