  1.995300E-01   1.721635E+01   1.721437E+01   9.998852E-01   9.999220E-01
  2.113500E-01   1.719033E+01   1.718834E+01   9.998840E-01   9.999149E-01
  2.238700E-01   1.716303E+01   1.716117E+01   9.998921E-01   9.999036E-01
  2.371400E-01   1.713414E+01   1.713227E+01   9.998903E-01   9.998931E-01
  2.511900E-01   1.710345E+01   1.710167E+01   9.998958E-01   9.998791E-01
  2.660700E-01   1.707073E+01   1.706902E+01   9.999000E-01   9.998665E-01
  2.818400E-01   1.703571E+01   1.703405E+01   9.999024E-01   9.998485E-01
  2.985400E-01   1.699823E+01   1.699668E+01   9.999090E-01   9.998317E-01
  3.162300E-01   1.695804E+01   1.695650E+01   9.999093E-01   9.998089E-01
  3.349700E-01   1.691482E+01   1.691339E+01   9.999150E-01   9.997892E-01
  3.548100E-01   1.686837E+01   1.686702E+01   9.999200E-01   9.997629E-01
  3.758400E-01   1.681850E+01   1.681720E+01   9.999228E-01   9.997309E-01
  3.981100E-01   1.676525E+01   1.676408E+01   9.999302E-01   9.997017E-01
  4.217000E-01   1.670860E+01   1.670749E+01   9.999333E-01   9.996588E-01
  4.466800E-01   1.664851E+01   1.664739E+01   9.999328E-01   9.996148E-01
  4.731500E-01   1.658478E+01   1.658369E+01   9.999341E-01   9.995676E-01
  5.011900E-01   1.651734E+01   1.651627E+01   9.999353E-01   9.995057E-01
  5.308800E-01   1.644619E+01   1.644513E+01   9.999355E-01   9.994464E-01
  5.623400E-01   1.637129E+01   1.637025E+01   9.999368E-01   9.993724E-01
  5.956600E-01   1.629268E+01   1.629090E+01   9.998907E-01   9.992872E-01
  6.309600E-01   1.621039E+01   1.620862E+01   9.998910E-01   9.991939E-01
  6.683400E-01   1.612444E+01   1.612268E+01   9.998909E-01   9.990874E-01
  7.079500E-01   1.603477E+01   1.603303E+01   9.998920E-01   9.989607E-01
  7.498900E-01   1.594181E+01   1.594076E+01   9.999338E-01   9.987314E-01
  7.943300E-01   1.584567E+01   1.584371E+01   9.998759E-01   9.985413E-01
  8.912500E-01   1.564349E+01   1.564157E+01   9.998770E-01   9.981111E-01
  8.413900E-01   1.574621E+01   1.574427E+01   9.998764E-01   9.983445E-01
  9.440600E-01   1.553764E+01   1.553559E+01   9.998677E-01   9.978275E-01
  1.000000E+00   1.542871E+01   1.542661E+01   9.998638E-01   9.975006E-01
  1.059300E+00   1.531656E+01   1.531434E+01   9.998552E-01   9.971366E-01
  1.188500E+00   1.508385E+01   1.508155E+01   9.998471E-01   9.962414E-01
  1.122000E+00   1.520173E+01   1.519943E+01   9.998487E-01   9.966995E-01
  1.258900E+00   1.496332E+01   1.496077E+01   9.998296E-01   9.956912E-01
  1.333500E+00   1.483995E+01   1.483720E+01   9.998148E-01   9.950400E-01
  1.412500E+00   1.471402E+01   1.471109E+01   9.998012E-01   9.943242E-01
  1.496200E+00   1.458571E+01   1.458247E+01   9.997779E-01   9.933985E-01
  1.584900E+00   1.445520E+01   1.445140E+01   9.997371E-01   9.924076E-01
  1.678800E+00   1.432257E+01   1.430131E+01   9.985151E-01   9.913728E-01
  1.995300E+00   1.391419E+01   1.389376E+01   9.985316E-01   9.868210E-01
  2.113500E+00   1.377515E+01   1.376933E+01   9.995770E-01   9.848869E-01
  2.238700E+00   1.363500E+01   1.359345E+01   9.969526E-01   9.824994E-01
  1.883600E+00   1.405201E+01   1.402907E+01   9.983679E-01   9.885983E-01
  1.778300E+00   1.418800E+01   1.416500E+01   9.983790E-01   9.899986E-01
  2.371400E+00   1.349383E+01   1.345597E+01   9.971938E-01   9.799483E-01
  2.511900E+00   1.335172E+01   1.332225E+01   9.977930E-01   9.772539E-01
  2.660700E+00   1.320911E+01   1.315242E+01   9.957082E-01   9.743646E-01
  2.818400E+00   1.306605E+01   1.301913E+01   9.964086E-01   9.712768E-01
  2.985400E+00   1.292253E+01   1.284767E+01   9.942074E-01   9.687698E-01
  3.162300E+00   1.277908E+01   1.271409E+01   9.949138E-01   9.663859E-01
  3.349700E+00   1.263550E+01   1.254156E+01   9.925654E-01   9.642591E-01
  3.548100E+00   1.249209E+01   1.236995E+01   9.902220E-01   9.617754E-01
  3.758400E+00   1.234882E+01   1.219606E+01   9.876296E-01   9.607864E-01
  3.981100E+00   1.220587E+01   1.205094E+01   9.873073E-01   9.606255E-01
  4.217000E+00   1.206323E+01   1.187648E+01   9.845191E-01   9.600674E-01
  4.466800E+00   1.192109E+01   1.169929E+01   9.813945E-01   9.586969E-01
  4.731500E+00   1.177920E+01   1.150070E+01   9.763574E-01   9.591290E-01
  5.011900E+00   1.163765E+01   1.129105E+01   9.702171E-01   9.594638E-01
