# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  6.352744E-005  5.623413E-004  4.154926E-008
  6.352744E-005  6.309573E-004  4.661900E-008
  6.352744E-005  7.079458E-004  5.230735E-008
  6.352744E-005  7.943282E-004  5.868978E-008
  6.352744E-005  8.912509E-004  6.585098E-008
  6.352744E-005  1.000000E-003  7.388598E-008
  6.352744E-005  1.122018E-003  8.290140E-008
  6.352744E-005  1.258925E-003  9.301687E-008
  6.352744E-005  1.412538E-003  1.043666E-007
  6.352744E-005  1.584893E-003  1.171012E-007
  6.352744E-005  1.778279E-003  1.313897E-007
  6.352744E-005  1.995262E-003  1.474216E-007
  6.352744E-005  2.238721E-003  1.654098E-007
  6.352744E-005  2.511886E-003  1.855928E-007
  6.352744E-005  2.818383E-003  2.082385E-007
  6.352744E-005  3.162278E-003  2.336474E-007
  6.352744E-005  3.548134E-003  2.621566E-007
  6.352744E-005  3.981072E-003  2.941446E-007
  6.352744E-005  4.466836E-003  3.300356E-007
  6.352744E-005  5.011872E-003  3.703060E-007
  6.352744E-005  5.623413E-003  4.154901E-007
  6.352744E-005  6.309573E-003  4.661875E-007
  6.352744E-005  7.079458E-003  5.230709E-007
  6.352744E-005  7.943282E-003  5.868952E-007
  6.352744E-005  8.912509E-003  6.585072E-007
  6.352744E-005  1.000000E-002  7.388571E-007
  6.352744E-005  1.122018E-002  8.290113E-007
  6.352744E-005  1.258925E-002  9.301658E-007
  6.352744E-005  1.412538E-002  1.043663E-006
  6.352744E-005  1.584893E-002  1.171009E-006
  6.352744E-005  1.778279E-002  1.313894E-006
  6.352744E-005  1.995262E-002  1.474213E-006
  6.352744E-005  2.238721E-002  1.654094E-006
  6.352744E-005  2.511886E-002  1.855924E-006
  6.352744E-005  2.818383E-002  2.082380E-006
  6.352744E-005  3.162278E-002  2.336469E-006
  6.352744E-005  3.548134E-002  2.621561E-006
  6.352744E-005  3.981072E-002  2.941439E-006
