# DL07 PAH, cation: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  9.332000E-002  1.995262E-003  4.109230E-001
  9.332000E-002  2.238721E-003  4.610799E-001
  9.332000E-002  2.511886E-003  5.174108E-001
  9.332000E-002  2.818383E-003  5.805764E-001
  9.332000E-002  3.162278E-003  6.514721E-001
  9.332000E-002  3.548134E-003  7.310015E-001
  9.332000E-002  3.981072E-003  8.202763E-001
  9.332000E-002  4.466836E-003  9.204641E-001
  9.332000E-002  5.011872E-003  1.032032E+000
  9.332000E-002  5.623413E-003  1.123133E+000
  9.332000E-002  6.309573E-003  1.239400E+000
  9.332000E-002  7.079458E-003  1.377963E+000
  9.332000E-002  7.943282E-003  1.532710E+000
  9.332000E-002  8.912509E-003  1.691994E+000
  9.332000E-002  1.000000E-002  1.836868E+000
  9.332000E-002  1.122018E-002  1.942287E+000
  9.332000E-002  1.258925E-002  1.984890E+000
  9.332000E-002  1.412538E-002  1.957603E+000
  9.332000E-002  1.584893E-002  1.880912E+000
  9.332000E-002  1.778279E-002  1.795788E+000
  9.332000E-002  1.995262E-002  1.738227E+000
  9.332000E-002  2.238721E-002  1.711137E+000
  9.332000E-002  2.511886E-002  1.677761E+000
  9.332000E-002  2.818383E-002  1.609234E+000
  9.332000E-002  3.162278E-002  1.535506E+000
  9.332000E-002  3.548134E-002  1.487182E+000
  9.332000E-002  3.981072E-002  1.435115E+000
  9.332000E-002  4.466836E-002  1.374553E+000
  9.332000E-002  5.011872E-002  1.328212E+000
  9.332000E-002  5.623413E-002  1.277162E+000
  9.332000E-002  6.309573E-002  1.233049E+000
  9.332000E-002  7.079458E-002  1.188880E+000
  9.332000E-002  7.943282E-002  1.149316E+000
  9.332000E-002  8.912509E-002  1.111523E+000
  9.332000E-002  1.000000E-001  1.076146E+000
  9.332000E-002  1.122018E-001  1.043312E+000
  9.332000E-002  1.258925E-001  1.012759E+000
  9.332000E-002  1.412538E-001  9.843363E-001
  9.332000E-002  1.584893E-001  9.579163E-001
  9.332000E-002  1.778279E-001  9.333667E-001
  9.332000E-002  1.995262E-001  9.106170E-001
  9.332000E-002  2.238721E-001  8.895368E-001
  9.332000E-002  2.511886E-001  8.700333E-001
  9.332000E-002  2.818383E-001  8.520068E-001
  9.332000E-002  3.162278E-001  8.353639E-001
  9.332000E-002  3.548134E-001  8.200170E-001
  9.332000E-002  3.981072E-001  8.058819E-001
  9.332000E-002  4.466836E-001  7.928790E-001
  9.332000E-002  5.011872E-001  7.809323E-001
  9.332000E-002  5.623413E-001  7.699696E-001
  9.332000E-002  6.309573E-001  7.599222E-001
  9.332000E-002  7.079458E-001  7.507251E-001
  9.332000E-002  7.943282E-001  7.423164E-001
  9.332000E-002  8.912509E-001  7.346377E-001
  9.332000E-002  1.000000E+000  7.276335E-001
  9.332000E-002  1.122018E+000  7.212518E-001
  9.332000E-002  1.258925E+000  7.154434E-001
  9.332000E-002  1.412538E+000  7.101624E-001
  9.332000E-002  1.584893E+000  7.053654E-001
  9.332000E-002  1.778279E+000  7.010121E-001
  9.332000E-002  1.995262E+000  6.970651E-001
  9.332000E-002  2.238721E+000  6.934892E-001
  9.332000E-002  2.511886E+000  6.902522E-001
  9.332000E-002  2.818383E+000  6.873240E-001
  9.332000E-002  3.162278E+000  6.846769E-001
  9.332000E-002  3.548134E+000  6.822855E-001
  9.332000E-002  3.981072E+000  6.801262E-001
  9.332000E-002  4.466836E+000  6.781778E-001
  9.332000E-002  5.011872E+000  6.764203E-001
  9.441000E-002  3.548134E-004  7.124203E-002
  9.441000E-002  3.981072E-004  8.083520E-002
  9.441000E-002  4.466836E-004  8.989997E-002
  9.441000E-002  5.011872E-004  1.003187E-001
  9.441000E-002  5.623413E-004  1.134445E-001
  9.441000E-002  6.309573E-004  1.265921E-001
  9.441000E-002  7.079458E-004  1.423103E-001
  9.441000E-002  7.943282E-004  1.597470E-001
  9.441000E-002  8.912509E-004  1.790488E-001
  9.441000E-002  1.000000E-003  2.007389E-001
  9.441000E-002  1.122018E-003  2.252712E-001
  9.441000E-002  1.258925E-003  2.527818E-001
  9.441000E-002  1.412538E-003  2.836389E-001
  9.441000E-002  1.584893E-003  3.181512E-001
  9.441000E-002  1.778279E-003  3.569994E-001
  9.441000E-002  1.995262E-003  4.005363E-001
  9.441000E-002  2.238721E-003  4.494258E-001
  9.441000E-002  2.511886E-003  5.043337E-001
  9.441000E-002  2.818383E-003  5.659039E-001
  9.441000E-002  3.162278E-003  6.350096E-001
  9.441000E-002  3.548134E-003  7.125320E-001
  9.441000E-002  3.981072E-003  7.995557E-001
  9.441000E-002  4.466836E-003  8.972197E-001
  9.441000E-002  5.011872E-003  1.005833E+000
  9.441000E-002  5.623413E-003  1.088349E+000
  9.441000E-002  6.309573E-003  1.197327E+000
  9.441000E-002  7.079458E-003  1.330389E+000
  9.441000E-002  7.943282E-003  1.482251E+000
  9.441000E-002  8.912509E-003  1.642370E+000
  9.441000E-002  1.000000E-002  1.792886E+000
  9.441000E-002  1.122018E-002  1.909074E+000
  9.441000E-002  1.258925E-002  1.965877E+000
  9.441000E-002  1.412538E-002  1.951827E+000
  9.441000E-002  1.584893E-002  1.882356E+000
  9.441000E-002  1.778279E-002  1.796867E+000
  9.441000E-002  1.995262E-002  1.735155E+000
  9.441000E-002  2.238721E-002  1.706874E+000
  9.441000E-002  2.511886E-002  1.678454E+000
  9.441000E-002  2.818383E-002  1.614498E+000
  9.441000E-002  3.162278E-002  1.538900E+000
  9.441000E-002  3.548134E-002  1.488942E+000
  9.441000E-002  3.981072E-002  1.439671E+000
  9.441000E-002  4.466836E-002  1.378483E+000
  9.441000E-002  5.011872E-002  1.331794E+000
  9.441000E-002  5.623413E-002  1.281525E+000
  9.441000E-002  6.309573E-002  1.236879E+000
  9.441000E-002  7.079458E-002  1.192984E+000
  9.441000E-002  7.943282E-002  1.153467E+000
  9.441000E-002  8.912509E-002  1.115475E+000
  9.441000E-002  1.000000E-001  1.080113E+000
  9.441000E-002  1.122018E-001  1.047283E+000
  9.441000E-002  1.258925E-001  1.016685E+000
  9.441000E-002  1.412538E-001  9.881970E-001
  9.441000E-002  1.584893E-001  9.617142E-001
  9.441000E-002  1.778279E-001  9.370974E-001
  9.441000E-002  1.995262E-001  9.142544E-001
  9.441000E-002  2.238721E-001  8.930813E-001
  9.441000E-002  2.511886E-001  8.734765E-001
  9.441000E-002  2.818383E-001  8.553419E-001
  9.441000E-002  3.162278E-001  8.385864E-001
  9.441000E-002  3.548134E-001  8.231225E-001
  9.441000E-002  3.981072E-001  8.088679E-001
  9.441000E-002  4.466836E-001  7.957438E-001
  9.441000E-002  5.011872E-001  7.836752E-001
  9.441000E-002  5.623413E-001  7.725910E-001
  9.441000E-002  6.309573E-001  7.624235E-001
  9.441000E-002  7.079458E-001  7.531081E-001
  9.441000E-002  7.943282E-001  7.445838E-001
  9.441000E-002  8.912509E-001  7.367927E-001
  9.441000E-002  1.000000E+000  7.296799E-001
  9.441000E-002  1.122018E+000  7.231936E-001
  9.441000E-002  1.258925E+000  7.172850E-001
  9.441000E-002  1.412538E+000  7.119083E-001
  9.441000E-002  1.584893E+000  7.070204E-001
  9.441000E-002  1.778279E+000  7.025811E-001
  9.441000E-002  1.995262E+000  6.985529E-001
  9.441000E-002  2.238721E+000  6.949006E-001
  9.441000E-002  2.511886E+000  6.915919E-001
  9.441000E-002  2.818383E+000  6.885967E-001
  9.441000E-002  3.162278E+000  6.858871E-001
  9.441000E-002  3.548134E+000  6.834376E-001
  9.441000E-002  3.981072E+000  6.812245E-001
  9.441000E-002  4.466836E+000  6.792261E-001
  9.441000E-002  5.011872E+000  6.774225E-001
  9.550000E-002  3.548134E-004  6.951976E-002
  9.550000E-002  3.981072E-004  7.888126E-002
  9.550000E-002  4.466836E-004  8.772670E-002
  9.550000E-002  5.011872E-004  9.789345E-002
  9.550000E-002  5.623413E-004  1.107022E-001
  9.550000E-002  6.309573E-004  1.235317E-001
  9.550000E-002  7.079458E-004  1.388700E-001
  9.550000E-002  7.943282E-004  1.558852E-001
  9.550000E-002  8.912509E-004  1.747204E-001
  9.550000E-002  1.000000E-003  1.958860E-001
  9.550000E-002  1.122018E-003  2.198253E-001
  9.550000E-002  1.258925E-003  2.466708E-001
  9.550000E-002  1.412538E-003  2.767819E-001
  9.550000E-002  1.584893E-003  3.104599E-001
  9.550000E-002  1.778279E-003  3.483691E-001
  9.550000E-002  1.995262E-003  3.908536E-001
  9.550000E-002  2.238721E-003  4.385616E-001
  9.550000E-002  2.511886E-003  4.921425E-001
  9.550000E-002  2.818383E-003  5.522252E-001
  9.550000E-002  3.162278E-003  6.196617E-001
  9.550000E-002  3.548134E-003  6.953126E-001
  9.550000E-002  3.981072E-003  7.802368E-001
  9.550000E-002  4.466836E-003  8.755472E-001
  9.550000E-002  5.011872E-003  9.813664E-001
  9.550000E-002  5.623413E-003  1.054074E+000
  9.550000E-002  6.309573E-003  1.154600E+000
  9.550000E-002  7.079458E-003  1.281051E+000
  9.550000E-002  7.943282E-003  1.428996E+000
  9.550000E-002  8.912509E-003  1.589055E+000
  9.550000E-002  1.000000E-002  1.744523E+000
  9.550000E-002  1.122018E-002  1.871097E+000
  9.550000E-002  1.258925E-002  1.942254E+000
  9.550000E-002  1.412538E-002  1.942343E+000
  9.550000E-002  1.584893E-002  1.881435E+000
  9.550000E-002  1.778279E-002  1.796549E+000
  9.550000E-002  1.995262E-002  1.730756E+000
  9.550000E-002  2.238721E-002  1.700712E+000
  9.550000E-002  2.511886E-002  1.676967E+000
  9.550000E-002  2.818383E-002  1.618306E+000
  9.550000E-002  3.162278E-002  1.541418E+000
  9.550000E-002  3.548134E-002  1.489404E+000
  9.550000E-002  3.981072E-002  1.442910E+000
  9.550000E-002  4.466836E-002  1.381607E+000
  9.550000E-002  5.011872E-002  1.334257E+000
  9.550000E-002  5.623413E-002  1.285084E+000
  9.550000E-002  6.309573E-002  1.239803E+000
  9.550000E-002  7.079458E-002  1.196401E+000
  9.550000E-002  7.943282E-002  1.156858E+000
  9.550000E-002  8.912509E-002  1.118774E+000
  9.550000E-002  1.000000E-001  1.083525E+000
  9.550000E-002  1.122018E-001  1.050745E+000
  9.550000E-002  1.258925E-001  1.020144E+000
  9.550000E-002  1.412538E-001  9.916314E-001
  9.550000E-002  1.584893E-001  9.651153E-001
  9.550000E-002  1.778279E-001  9.404699E-001
  9.550000E-002  1.995262E-001  9.175708E-001
  9.550000E-002  2.238721E-001  8.963370E-001
  9.550000E-002  2.511886E-001  8.766577E-001
  9.550000E-002  2.818383E-001  8.584390E-001
  9.550000E-002  3.162278E-001  8.415915E-001
  9.550000E-002  3.548134E-001  8.260293E-001
  9.550000E-002  3.981072E-001  8.116710E-001
  9.550000E-002  4.466836E-001  7.984392E-001
  9.550000E-002  5.011872E-001  7.862604E-001
  9.550000E-002  5.623413E-001  7.750646E-001
  9.550000E-002  6.309573E-001  7.647851E-001
  9.550000E-002  7.079458E-001  7.553585E-001
  9.550000E-002  7.943282E-001  7.467246E-001
  9.550000E-002  8.912509E-001  7.388261E-001
  9.550000E-002  1.000000E+000  7.316090E-001
  9.550000E-002  1.122018E+000  7.250219E-001
  9.550000E-002  1.258925E+000  7.190163E-001
  9.550000E-002  1.412538E+000  7.135468E-001
  9.550000E-002  1.584893E+000  7.085705E-001
  9.550000E-002  1.778279E+000  7.040472E-001
  9.550000E-002  1.995262E+000  6.999396E-001
  9.550000E-002  2.238721E+000  6.962126E-001
  9.550000E-002  2.511886E+000  6.928337E-001
  9.550000E-002  2.818383E+000  6.897727E-001
  9.550000E-002  3.162278E+000  6.870017E-001
  9.550000E-002  3.548134E+000  6.844950E-001
  9.550000E-002  3.981072E+000  6.822288E-001
  9.550000E-002  4.466836E+000  6.801811E-001
  9.550000E-002  5.011872E+000  6.783320E-001
  9.661000E-002  3.548134E-004  6.786935E-002
  9.661000E-002  3.981072E-004  7.700902E-002
  9.661000E-002  4.466836E-004  8.564415E-002
  9.661000E-002  5.011872E-004  9.556929E-002
  9.661000E-002  5.623413E-004  1.080743E-001
  9.661000E-002  6.309573E-004  1.205990E-001
  9.661000E-002  7.079458E-004  1.355732E-001
  9.661000E-002  7.943282E-004  1.521845E-001
  9.661000E-002  8.912509E-004  1.705724E-001
  9.661000E-002  1.000000E-003  1.912354E-001
  9.661000E-002  1.122018E-003  2.146063E-001
  9.661000E-002  1.258925E-003  2.408144E-001
  9.661000E-002  1.412538E-003  2.702106E-001
  9.661000E-002  1.584893E-003  3.030888E-001
  9.661000E-002  1.778279E-003  3.400978E-001
  9.661000E-002  1.995262E-003  3.815734E-001
  9.661000E-002  2.238721E-003  4.281484E-001
  9.661000E-002  2.511886E-003  4.804570E-001
  9.661000E-002  2.818383E-003  5.391130E-001
  9.661000E-002  3.162278E-003  6.049487E-001
  9.661000E-002  3.548134E-003  6.788041E-001
  9.661000E-002  3.981072E-003  7.617140E-001
  9.661000E-002  4.466836E-003  8.547660E-001
  9.661000E-002  5.011872E-003  9.577723E-001
  9.661000E-002  5.623413E-003  1.014984E+000
  9.661000E-002  6.309573E-003  1.101891E+000
  9.661000E-002  7.079458E-003  1.217161E+000
  9.661000E-002  7.943282E-003  1.357505E+000
  9.661000E-002  8.912509E-003  1.515211E+000
  9.661000E-002  1.000000E-002  1.675295E+000
  9.661000E-002  1.122018E-002  1.814165E+000
  9.661000E-002  1.258925E-002  1.903548E+000
  9.661000E-002  1.412538E-002  1.922740E+000
  9.661000E-002  1.584893E-002  1.874993E+000
  9.661000E-002  1.778279E-002  1.793353E+000
  9.661000E-002  1.995262E-002  1.723784E+000
  9.661000E-002  2.238721E-002  1.691507E+000
