# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.332000E-002  1.995262E-001  2.340480E+000  1.019539E+000  1.320941E+000  5.643889E-001  8.510988E-001
  9.332000E-002  2.238721E-001  2.318206E+000  9.992211E-001  1.318985E+000  5.689679E-001  8.530046E-001
  9.332000E-002  2.511886E-001  2.297105E+000  9.804394E-001  1.316666E+000  5.731848E-001  8.545956E-001
  9.332000E-002  2.818383E-001  2.277161E+000  9.631027E-001  1.314058E+000  5.770599E-001  8.559191E-001
  9.332000E-002  3.162278E-001  2.258349E+000  9.471215E-001  1.311228E+000  5.806133E-001  8.570148E-001
  9.332000E-002  3.548134E-001  2.240637E+000  9.324089E-001  1.308228E+000  5.838644E-001  8.579163E-001
  9.332000E-002  3.981072E-001  2.223989E+000  9.188808E-001  1.305108E+000  5.868321E-001  8.586521E-001
  9.332000E-002  4.466836E-001  2.208364E+000  9.064563E-001  1.301908E+000  5.895349E-001  8.592465E-001
  9.332000E-002  5.011872E-001  2.193720E+000  8.950583E-001  1.298661E+000  5.919906E-001  8.597201E-001
  9.332000E-002  5.623413E-001  2.180012E+000  8.846132E-001  1.295399E+000  5.942163E-001  8.600908E-001
  9.332000E-002  6.309573E-001  2.167195E+000  8.750514E-001  1.292144E+000  5.962286E-001  8.603739E-001
  9.332000E-002  7.079458E-001  2.155225E+000  8.663071E-001  1.288918E+000  5.980433E-001  8.605823E-001
  9.332000E-002  7.943282E-001  2.144056E+000  8.583181E-001  1.285738E+000  5.996755E-001  8.607276E-001
  9.332000E-002  8.912509E-001  2.133644E+000  8.510262E-001  1.282617E+000  6.011395E-001  8.608193E-001
  9.332000E-002  1.000000E+000  2.123945E+000  8.443764E-001  1.279568E+000  6.024490E-001  8.608659E-001
  9.332000E-002  1.122018E+000  2.114917E+000  8.383176E-001  1.276600E+000  6.036168E-001  8.608748E-001
  9.332000E-002  1.258925E+000  2.106520E+000  8.328018E-001  1.273718E+000  6.046552E-001  8.608522E-001
  9.332000E-002  1.412538E+000  2.098715E+000  8.277845E-001  1.270930E+000  6.055755E-001  8.608036E-001
