# model = dl07_MW
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Draine & Li (2007) / Weingartner & Draine (2001) Milky-Way
# dust model.
#
# Model definition: WD01 R_V = 3.1, b_C = 6e-5 size distribution
#   (Draine's "MW 3.1_60"), with the Draine (2003a) x0.93 abundance
#   reduction applied, heated by the MMP83 field at U = 1 for the
#   PAH ionization fraction (WD01b charging).
# Size grid: Draine's 84-point log grid, 3.548 A - 5.012 um.
# Optics:
#   silicate     : Mie on the D03 astrosilicate dielectric function
#     ../data/dielectric/index_silD03
#   carbonaceous : absorption from the DL07 PAH <-> graphite xi-blend
#     (neutral and cation mixed by the ionization fraction, a > 100 A
#     fully ionized); scattering and <cos> from random-orientation D03
#     graphite (1/3 parallel + 2/3 perpendicular), which is the
#     standard DL07 treatment -- PAH scattering is Rayleigh-negligible.
#     ../data/dielectric/index_CpaD03, index_CpeD03
#
# Wavelength range:  9.120000E-02 -  3.981000E+04 um, 1129 points.
#   The grid is the T-matrix Q table's own: no EUV extension was requested,
#   but that grid by itself already covers the ionizing band.
#
# How far to trust the EUV band of THIS model:
#   the optics are Mie on the D03 dielectric functions at EVERY
#   wavelength, so nothing changes character across the band, and the
#   result can be checked directly against Draine's own published
#   table kext_albedo_WD_MW_3.1_60_D03.all (2003 vintage), which
#   spans 1e-4 - 1e4 um.  Running this program prints that comparison
#   decade by decade.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.750186E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: 3.5 g/cm^3 astrosilicate, 2.2 g/cm^3 graphite (Draine & Li 2007 sec. 2).
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 1.514000000000E-001  3.809165506092E-001  6.638260689852E-001  1.271588409797E-021  7.872193389423E-022  4.843690708543E-022  4.497918060692E+004
 1.531000000000E-001  3.849861272917E-001  6.618830566589E-001  1.260286621802E-021  7.750937559966E-022  4.851928658049E-022  4.428636380441E+004
 1.549000000000E-001  3.901802226096E-001  6.591461432124E-001  1.249542486761E-021  7.619957211165E-022  4.875467656445E-022  4.353798422667E+004
 1.567000000000E-001  3.940971905960E-001  6.574754175575E-001  1.239717403929E-021  7.511482579074E-022  4.885691460212E-022  4.291819507431E+004
 1.585000000000E-001  3.988093009143E-001  6.552535308608E-001  1.230924693113E-021  7.400204767745E-022  4.909042163385E-022  4.228238945753E+004
 1.603000000000E-001  4.042178120716E-001  6.524689455206E-001  1.223313044548E-021  7.288281222021E-022  4.944849223458E-022  4.164289432216E+004
 1.622000000000E-001  4.090105580257E-001  6.500022486431E-001  1.217126630957E-021  7.193089884413E-022  4.978176425156E-022  4.109900164134E+004
 1.641000000000E-001  4.147968661224E-001  6.467998596447E-001  1.211918146226E-021  7.092182971747E-022  5.026998490515E-022  4.052245200329E+004
 1.660000000000E-001  4.208043874645E-001  6.432387596161E-001  1.208253015431E-021  6.998148453702E-022  5.084381700604E-022  3.998516901732E+004
 1.679000000000E-001  4.260724126045E-001  6.399017952727E-001  1.206501261437E-021  6.924443581662E-022  5.140569032707E-022  3.956404308874E+004
 1.698000000000E-001  4.322463579609E-001  6.357995524322E-001  1.205538180833E-021  6.844486927851E-022  5.210894880478E-022  3.910719649027E+004
 1.718000000000E-001  4.366786390209E-001  6.323922982476E-001  1.207068189434E-021  6.799672952664E-022  5.271008941675E-022  3.885114385234E+004
 1.738000000000E-001  4.411903272897E-001  6.286749296055E-001  1.209471614239E-021  6.758644369054E-022  5.336071773337E-022  3.861671972415E+004
 1.758000000000E-001  4.460360864150E-001  6.245068851158E-001  1.212659237791E-021  6.717694572118E-022  5.408897805793E-022  3.838274575767E+004
 1.778000000000E-001  4.512731158032E-001  6.198795315433E-001  1.216803479626E-021  6.676927820548E-022  5.491106975708E-022  3.814981765353E+004
 1.799000000000E-001  4.575349615946E-001  6.143769519525E-001  1.222341959485E-021  6.630777779965E-022  5.592641814885E-022  3.788613116773E+004
 1.820000000000E-001  4.598962167698E-001  6.106937164781E-001  1.231117497399E-021  6.649312179459E-022  5.661862794528E-022  3.799203076408E+004
 1.841000000000E-001  4.622891920196E-001  6.067002096009E-001  1.241070435849E-021  6.673369868210E-022  5.737334490280E-022  3.812948865843E+004
 1.862000000000E-001  4.644924506897E-001  6.022767457868E-001  1.252491954858E-021  6.707188972767E-022  5.817730575810E-022  3.832272014254E+004
 1.884000000000E-001  4.661809222738E-001  5.972892264529E-001  1.266478123947E-021  6.760701840859E-022  5.904079398613E-022  3.862847545617E+004
 1.905000000000E-001  4.663478624766E-001  5.926792477790E-001  1.282286339850E-021  6.842948461780E-022  5.979914936721E-022  3.909840619005E+004
 1.928000000000E-001  4.632269323019E-001  5.889303655501E-001  1.303597118035E-021  6.997358240901E-022  6.038612939451E-022  3.998065399558E+004
 1.950000000000E-001  4.604022688534E-001  5.852127025685E-001  1.327526301202E-021  7.163301801661E-022  6.111961210360E-022  4.092880211908E+004
 1.972000000000E-001  4.580322701904E-001  5.814192625645E-001  1.353178138444E-021  7.333788837205E-022  6.197992547236E-022  4.190291019589E+004
 1.995000000000E-001  4.556059081051E-001  5.774110856080E-001  1.380819449282E-021  7.517099501629E-022  6.291094991194E-022  4.295028836287E+004
 2.018000000000E-001  4.499125846775E-001  5.742113212181E-001  1.410000265418E-021  7.756234016081E-022  6.343768638104E-022  4.431662605083E+004
 2.042000000000E-001  4.424733812491E-001  5.707691195939E-001  1.441828882872E-021  8.038579818852E-022  6.379709009871E-022  4.592985913952E+004
 2.065000000000E-001  4.355714726729E-001  5.669154566751E-001  1.472198862468E-021  8.309510358753E-022  6.412478265924E-022  4.747786908838E+004
 2.089000000000E-001  4.302585998496E-001  5.630416195349E-001  1.500502508311E-021  8.548984000144E-022  6.456041082967E-022  4.884614443858E+004
 2.113000000000E-001  4.267673095944E-001  5.598544428134E-001  1.527038179797E-021  8.753482041568E-022  6.516899756397E-022  5.001458046193E+004
 2.138000000000E-001  4.252727674076E-001  5.568947010077E-001  1.548423774147E-021  8.899213105959E-022  6.585024635513E-022  5.084724088337E+004
 2.163000000000E-001  4.259150649556E-001  5.548948798015E-001  1.556286560525E-021  8.934406690092E-022  6.628458915153E-022  5.104832570162E+004
 2.188000000000E-001  4.285454921227E-001  5.529791523968E-001  1.550365191205E-021  8.859631773701E-022  6.644020138349E-022  5.062108588384E+004
 2.213000000000E-001  4.326298649765E-001  5.508854450475E-001  1.532400304790E-021  8.694381678386E-022  6.629621369510E-022  4.967689999881E+004
 2.239000000000E-001  4.381047755367E-001  5.484600248214E-001  1.505792374483E-021  8.460975442553E-022  6.596948302278E-022  4.834329185214E+004
 2.265000000000E-001  4.457076673059E-001  5.457010095454E-001  1.472151046203E-021  8.160020374778E-022  6.561490087249E-022  4.662373140965E+004
 2.291000000000E-001  4.554975601518E-001  5.443950724962E-001  1.434448295796E-021  7.810605968972E-022  6.533876988991E-022  4.462728989864E+004
 2.317000000000E-001  4.668881635238E-001  5.436056940988E-001  1.398095958960E-021  7.453415042509E-022  6.527544547087E-022  4.258641585023E+004
 2.344000000000E-001  4.791427840385E-001  5.427844694323E-001  1.361409218714E-021  7.090998154436E-022  6.523094032703E-022  4.051568233833E+004
 2.371000000000E-001  4.908094807170E-001  5.425160136283E-001  1.322970404863E-021  6.736439874484E-022  6.493264174150E-022  3.848985038518E+004
 2.399000000000E-001  5.015972433396E-001  5.425352073739E-001  1.283232075713E-021  6.395664039703E-022  6.436656717426E-022  3.654276689004E+004
 2.427000000000E-001  5.102295670644E-001  5.428010298193E-001  1.246180152749E-021  6.103421929277E-022  6.358379598214E-022  3.487298948296E+004
 2.455000000000E-001  5.177502981143E-001  5.424258086661E-001  1.213901341470E-021  5.854035600424E-022  6.284977814273E-022  3.344807622544E+004
 2.483000000000E-001  5.246684631275E-001  5.414631449665E-001  1.185435237029E-021  5.634747530800E-022  6.219604839493E-022  3.219513473879E+004
 2.512000000000E-001  5.318519573495E-001  5.413182980454E-001  1.157468716828E-021  5.418667142124E-022  6.156020026161E-022  3.096052090919E+004
 2.541000000000E-001  5.388878981295E-001  5.422377459362E-001  1.133458321660E-021  5.226513490832E-022  6.108069725768E-022  2.986261675996E+004
