# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  9.550000E-002  3.981072E-001  8.116710E-001
  9.550000E-002  4.466836E-001  7.984392E-001
  9.550000E-002  5.011872E-001  7.862604E-001
  9.550000E-002  5.623413E-001  7.750646E-001
  9.550000E-002  6.309573E-001  7.647851E-001
  9.550000E-002  7.079458E-001  7.553585E-001
  9.550000E-002  7.943282E-001  7.467246E-001
  9.550000E-002  8.912509E-001  7.388261E-001
  9.550000E-002  1.000000E+000  7.316090E-001
  9.550000E-002  1.122018E+000  7.250219E-001
  9.550000E-002  1.258925E+000  7.190163E-001
  9.550000E-002  1.412538E+000  7.135468E-001
  9.550000E-002  1.584893E+000  7.085705E-001
  9.550000E-002  1.778279E+000  7.040472E-001
  9.550000E-002  1.995262E+000  6.999396E-001
  9.550000E-002  2.238721E+000  6.962126E-001
  9.550000E-002  2.511886E+000  6.928337E-001
  9.550000E-002  2.818383E+000  6.897727E-001
  9.550000E-002  3.162278E+000  6.870017E-001
  9.550000E-002  3.548134E+000  6.844950E-001
  9.550000E-002  3.981072E+000  6.822288E-001
  9.550000E-002  4.466836E+000  6.801811E-001
  9.550000E-002  5.011872E+000  6.783320E-001
  9.661000E-002  3.548134E-004  6.786932E-002
  9.661000E-002  3.981072E-004  7.700898E-002
  9.661000E-002  4.466836E-004  8.564411E-002
  9.661000E-002  5.011872E-004  9.556925E-002
  9.661000E-002  5.623413E-004  1.080743E-001
  9.661000E-002  6.309573E-004  1.205989E-001
  9.661000E-002  7.079458E-004  1.355732E-001
  9.661000E-002  7.943282E-004  1.521844E-001
  9.661000E-002  8.912509E-004  1.705723E-001
  9.661000E-002  1.000000E-003  1.912353E-001
  9.661000E-002  1.122018E-003  2.146062E-001
  9.661000E-002  1.258925E-003  2.408143E-001
  9.661000E-002  1.412538E-003  2.702105E-001
  9.661000E-002  1.584893E-003  3.030887E-001
  9.661000E-002  1.778279E-003  3.400976E-001
  9.661000E-002  1.995262E-003  3.815733E-001
  9.661000E-002  2.238721E-003  4.281482E-001
  9.661000E-002  2.511886E-003  4.804568E-001
  9.661000E-002  2.818383E-003  5.391128E-001
  9.661000E-002  3.162278E-003  6.049484E-001
  9.661000E-002  3.548134E-003  6.788038E-001
  9.661000E-002  3.981072E-003  7.617137E-001
  9.661000E-002  4.466836E-003  8.547656E-001
  9.661000E-002  5.011872E-003  9.577719E-001
  9.661000E-002  5.623413E-003  1.014983E+000
  9.661000E-002  6.309573E-003  1.101891E+000
  9.661000E-002  7.079458E-003  1.217161E+000
  9.661000E-002  7.943282E-003  1.357505E+000
  9.661000E-002  8.912509E-003  1.515210E+000
  9.661000E-002  1.000000E-002  1.675295E+000
  9.661000E-002  1.122018E-002  1.814165E+000
  9.661000E-002  1.258925E-002  1.903548E+000
  9.661000E-002  1.412538E-002  1.922740E+000
  9.661000E-002  1.584893E-002  1.874993E+000
  9.661000E-002  1.778279E-002  1.793353E+000
  9.661000E-002  1.995262E-002  1.723784E+000
  9.661000E-002  2.238721E-002  1.691507E+000
  9.661000E-002  2.511886E-002  1.673339E+000
  9.661000E-002  2.818383E-002  1.622185E+000
  9.661000E-002  3.162278E-002  1.545001E+000
