# DL07 graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.550000E-002  8.912509E-004  1.328250E-001  1.327965E-001  2.856006E-005  2.150202E-004  4.258912E-004
  9.550000E-002  1.000000E-003  1.492092E-001  1.491640E-001  4.529281E-005  3.035523E-004  5.359827E-004
  9.550000E-002  1.122018E-003  1.676661E-001  1.675943E-001  7.183965E-005  4.284685E-004  6.744819E-004
  9.550000E-002  1.258925E-003  1.884791E-001  1.883651E-001  1.139668E-004  6.046657E-004  8.486938E-004
  9.550000E-002  1.412538E-003  2.119789E-001  2.117981E-001  1.808379E-004  8.530939E-004  1.067791E-003
  9.550000E-002  1.584893E-003  2.385547E-001  2.382677E-001  2.870234E-004  1.203177E-003  1.343287E-003
  9.550000E-002  1.778279E-003  2.686685E-001  2.682128E-001  4.557071E-004  1.696169E-003  1.689632E-003
  9.550000E-002  1.995262E-003  3.028749E-001  3.021511E-001  7.238041E-004  2.389779E-003  2.124955E-003
  9.550000E-002  2.238721E-003  3.418469E-001  3.406967E-001  1.150142E-003  3.364496E-003  2.672011E-003
  9.550000E-002  2.511886E-003  3.864111E-001  3.845825E-001  1.828548E-003  4.732133E-003  3.359378E-003
  9.550000E-002  2.818383E-003  4.375951E-001  4.346863E-001  2.908782E-003  6.647200E-003  4.222999E-003
  9.550000E-002  3.162278E-003  4.966910E-001  4.920609E-001  4.630012E-003  9.321716E-003  5.308204E-003
  9.550000E-002  3.548134E-003  5.653384E-001  5.579642E-001  7.374199E-003  1.304387E-002  6.672419E-003
  9.550000E-002  3.981072E-003  6.456317E-001  6.338809E-001  1.175075E-002  1.820040E-002  8.388919E-003
  9.550000E-002  4.466836E-003  7.402486E-001  7.215193E-001  1.872926E-002  2.530131E-002  1.055220E-002
  9.550000E-002  5.011872E-003  8.525858E-001  8.227427E-001  2.984309E-002  3.500304E-002  1.328599E-002
