# Wavelength, tau_Ad/NH, tau_PAH/NH, tau_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
1.1147e+00 8.9989e-23 3.2948e-24 9.3283e-23
1.1289e+00 8.7846e-23 2.9867e-24 9.0832e-23
1.1433e+00 8.5765e-23 2.8043e-24 8.8569e-23
1.1578e+00 8.3742e-23 2.7072e-24 8.6449e-23
1.1725e+00 8.1767e-23 2.6765e-24 8.4443e-23
1.1874e+00 7.9821e-23 2.7052e-24 8.2526e-23
1.2025e+00 7.7932e-23 2.7908e-24 8.0723e-23
1.2177e+00 7.6073e-23 2.9245e-24 7.8997e-23
1.2332e+00 7.4271e-23 3.0699e-24 7.7341e-23
1.2489e+00 7.2518e-23 3.1631e-24 7.5682e-23
1.2647e+00 7.0795e-23 3.1364e-24 7.3931e-23
1.2808e+00 6.9060e-23 2.9749e-24 7.2035e-23
1.2971e+00 6.7428e-23 2.7305e-24 7.0159e-23
1.3136e+00 6.5919e-23 2.4711e-24 6.8390e-23
1.3303e+00 6.4408e-23 2.2378e-24 6.6645e-23
1.3472e+00 6.2888e-23 2.0435e-24 6.4932e-23
1.3643e+00 6.1360e-23 1.8858e-24 6.3246e-23
1.3816e+00 5.9775e-23 1.7585e-24 6.1534e-23
1.3991e+00 5.8235e-23 1.6539e-24 5.9889e-23
1.4169e+00 5.6763e-23 1.5663e-24 5.8329e-23
1.4349e+00 5.5346e-23 1.4915e-24 5.6838e-23
1.4532e+00 5.3982e-23 1.4265e-24 5.5408e-23
1.4716e+00 5.2652e-23 1.3690e-24 5.4021e-23
1.4903e+00 5.1365e-23 1.3175e-24 5.2682e-23
1.5092e+00 5.0116e-23 1.2707e-24 5.1387e-23
1.5284e+00 4.8895e-23 1.2277e-24 5.0123e-23
1.5478e+00 4.7713e-23 1.1879e-24 4.8900e-23
1.5675e+00 4.6571e-23 1.1507e-24 4.7721e-23
1.5874e+00 4.5454e-23 1.1158e-24 4.6569e-23
1.6076e+00 4.4372e-23 1.0826e-24 4.5454e-23
1.6280e+00 4.3320e-23 1.0511e-24 4.4371e-23
1.6487e+00 4.2300e-23 1.0209e-24 4.3321e-23
1.6696e+00 4.1309e-23 9.9188e-25 4.2301e-23
1.6908e+00 4.0350e-23 9.6378e-25 4.1313e-23
1.7123e+00 3.9426e-23 9.3644e-25 4.0362e-23
1.7341e+00 3.8528e-23 9.0964e-25 3.9438e-23
1.7561e+00 3.7664e-23 8.8310e-25 3.8547e-23
1.7784e+00 3.6828e-23 8.5646e-25 3.7685e-23
1.8010e+00 3.6022e-23 8.2912e-25 3.6851e-23
1.8239e+00 3.5247e-23 8.0066e-25 3.6048e-23
1.8471e+00 3.4502e-23 7.7102e-25 3.5273e-23
1.8705e+00 3.3785e-23 7.4153e-25 3.4526e-23
1.8943e+00 3.3095e-23 7.1574e-25 3.3811e-23
1.9184e+00 3.2434e-23 6.9708e-25 3.3131e-23
1.9427e+00 3.1804e-23 6.8514e-25 3.2489e-23
1.9674e+00 3.1201e-23 6.7625e-25 3.1878e-23
1.9924e+00 3.0621e-23 6.6711e-25 3.1288e-23
2.0177e+00 3.0069e-23 6.5654e-25 3.0725e-23
2.0433e+00 2.9544e-23 6.4459e-25 3.0188e-23
2.0693e+00 2.9041e-23 6.3179e-25 2.9673e-23
2.0956e+00 2.8557e-23 6.1853e-25 2.9175e-23
2.1222e+00 2.8098e-23 6.0506e-25 2.8703e-23
2.1492e+00 2.7654e-23 5.9155e-25 2.8245e-23
2.1765e+00 2.7228e-23 5.7812e-25 2.7806e-23
2.2041e+00 2.6817e-23 5.6484e-25 2.7382e-23
2.2321e+00 2.6421e-23 5.5176e-25 2.6973e-23
2.2605e+00 2.6040e-23 5.3891e-25 2.6579e-23
2.2892e+00 2.5671e-23 5.2632e-25 2.6197e-23
2.3183e+00 2.5317e-23 5.1398e-25 2.5831e-23
2.3477e+00 2.4976e-23 5.0191e-25 2.5478e-23
2.3776e+00 2.4659e-23 4.9011e-25 2.5149e-23
2.4078e+00 2.4352e-23 4.7859e-25 2.4831e-23
2.4384e+00 2.4053e-23 4.6733e-25 2.4521e-23
2.4693e+00 2.3763e-23 4.5634e-25 2.4219e-23
2.5007e+00 2.3490e-23 4.4562e-25 2.3935e-23
2.5325e+00 2.3232e-23 4.3516e-25 2.3667e-23
2.5647e+00 2.2981e-23 4.2495e-25 2.3406e-23
2.5972e+00 2.2749e-23 4.1499e-25 2.3164e-23
2.6302e+00 2.2527e-23 4.0529e-25 2.2933e-23
2.6636e+00 2.2326e-23 3.9583e-25 2.2721e-23
2.6975e+00 2.2120e-23 3.8661e-25 2.2507e-23
2.7318e+00 2.1942e-23 3.7763e-25 2.2319e-23
2.7665e+00 2.1761e-23 3.6889e-25 2.2130e-23
2.8016e+00 2.1602e-23 3.6038e-25 2.1963e-23
2.8372e+00 2.1455e-23 3.5212e-25 2.1807e-23
2.8732e+00 2.1320e-23 3.4410e-25 2.1665e-23
2.9097e+00 2.1194e-23 3.3633e-25 2.1530e-23
2.9467e+00 2.1082e-23 3.2885e-25 2.1411e-23
2.9841e+00 2.0974e-23 3.2168e-25 2.1296e-23
3.0221e+00 2.0881e-23 3.1490e-25 2.1196e-23
3.0605e+00 2.0774e-23 3.0866e-25 2.1082e-23
3.0993e+00 2.0655e-23 3.0328e-25 2.0959e-23
3.1387e+00 2.0530e-23 2.9949e-25 2.0829e-23
3.1786e+00 2.0387e-23 2.9954e-25 2.0687e-23
3.2190e+00 2.0241e-23 3.1239e-25 2.0553e-23
3.2599e+00 2.0083e-23 4.0013e-25 2.0484e-23
3.3013e+00 1.9944e-23 6.2227e-25 2.0567e-23
3.3432e+00 2.0116e-23 3.6969e-25 2.0486e-23
3.3857e+00 2.0936e-23 2.8416e-25 2.1220e-23
3.4287e+00 2.0843e-23 2.6152e-25 2.1104e-23
3.4723e+00 2.0590e-23 2.5005e-25 2.0840e-23
3.5164e+00 1.9967e-23 2.4179e-25 2.0209e-23
3.5610e+00 1.9404e-23 2.3494e-25 1.9638e-23
3.6063e+00 1.8814e-23 2.2884e-25 1.9043e-23
3.6521e+00 1.8494e-23 2.2321e-25 1.8717e-23
3.6985e+00 1.8292e-23 2.1791e-25 1.8510e-23
3.7455e+00 1.8101e-23 2.1286e-25 1.8314e-23
3.7931e+00 1.7922e-23 2.0803e-25 1.8130e-23
3.8412e+00 1.7757e-23 2.0338e-25 1.7960e-23
3.8900e+00 1.7588e-23 1.9889e-25 1.7787e-23
3.9395e+00 1.7432e-23 1.9457e-25 1.7627e-23
3.9895e+00 1.7289e-23 1.9039e-25 1.7479e-23
4.0402e+00 1.7148e-23 1.8636e-25 1.7334e-23
4.0915e+00 1.7013e-23 1.8246e-25 1.7195e-23
4.1435e+00 1.6886e-23 1.7870e-25 1.7065e-23
4.1961e+00 1.6767e-23 1.7508e-25 1.6942e-23
4.2495e+00 1.6659e-23 1.7159e-25 1.6831e-23
4.3034e+00 1.6557e-23 1.6823e-25 1.6725e-23
