# Wavelength, p^max/NH
# [Microns] [cm^2/H]
5.0710e+00 1.4964e-24
5.1354e+00 1.4898e-24
5.2006e+00 1.4832e-24
5.2667e+00 1.4766e-24
5.3336e+00 1.4701e-24
5.4014e+00 1.4635e-24
5.4700e+00 1.4573e-24
5.5395e+00 1.4510e-24
5.6098e+00 1.4444e-24
5.6811e+00 1.4376e-24
5.7533e+00 1.4309e-24
5.8264e+00 1.4235e-24
5.9004e+00 1.4167e-24
5.9754e+00 1.4098e-24
6.0513e+00 1.4026e-24
6.1281e+00 1.3951e-24
6.2060e+00 1.3877e-24
6.2848e+00 1.3799e-24
6.3647e+00 1.3719e-24
6.4455e+00 1.3638e-24
6.5274e+00 1.3551e-24
6.6104e+00 1.3461e-24
6.6943e+00 1.3361e-24
6.7794e+00 1.3325e-24
6.8655e+00 1.3401e-24
6.9527e+00 1.3167e-24
7.0411e+00 1.3000e-24
7.1305e+00 1.2877e-24
7.2211e+00 1.2751e-24
7.3128e+00 1.2613e-24
7.4057e+00 1.2467e-24
7.4998e+00 1.2311e-24
7.5951e+00 1.2131e-24
7.6916e+00 1.1925e-24
7.7893e+00 1.1661e-24
7.8883e+00 1.1413e-24
7.9885e+00 1.1254e-24
8.0900e+00 1.1200e-24
8.1927e+00 1.1262e-24
8.2968e+00 1.1575e-24
8.4022e+00 1.2036e-24
8.5090e+00 1.2555e-24
8.6171e+00 1.2674e-24
8.7265e+00 1.2790e-24
8.8374e+00 1.3715e-24
8.9497e+00 1.5033e-24
9.0634e+00 1.6525e-24
9.1785e+00 1.8469e-24
9.2951e+00 2.0972e-24
9.4132e+00 2.3836e-24
9.5328e+00 2.6772e-24
9.6539e+00 2.9559e-24
9.7765e+00 3.2007e-24
9.9007e+00 3.3919e-24
1.0027e+01 3.5158e-24
1.0154e+01 3.5636e-24
1.0283e+01 3.5485e-24
1.0414e+01 3.4975e-24
1.0546e+01 3.4299e-24
1.0680e+01 3.3520e-24
1.0815e+01 3.2666e-24
