# Effective radius, dn_Ad/nH, dn_PAH/nH, f_ion, f_align
# [Microns] [Number/H] [Number/H] [] []
# Note dn_i/nH = (1/nH)*(dn/da)_i*da, i.e., the number of grains
# of composition i per H atom in the size bin centered at the effective radius.
1.4125e-01 8.8294e-15 3.4003e-31 9.9297e-01 7.5786e-01
1.4962e-01 8.0640e-15 8.4165e-32 9.9336e-01 7.7635e-01
1.5849e-01 7.2973e-15 2.0393e-32 9.9373e-01 7.9383e-01
1.6788e-01 6.5396e-15 4.8439e-33 9.9408e-01 8.1026e-01
1.7783e-01 5.7999e-15 1.1264e-33 9.9441e-01 8.2568e-01
1.8836e-01 5.0882e-15 2.5691e-34 9.9472e-01 8.4008e-01
1.9953e-01 4.4114e-15 5.7270e-35 9.9501e-01 8.5352e-01
2.1135e-01 3.7784e-15 1.2524e-35 9.9529e-01 8.6600e-01
2.2387e-01 3.1948e-15 2.6829e-36 9.9555e-01 8.7757e-01
2.3714e-01 2.6644e-15 5.6239e-37 9.9580e-01 8.8827e-01
2.5119e-01 2.1908e-15 1.1556e-37 9.9603e-01 8.9815e-01
2.6607e-01 1.7745e-15 2.3263e-38 9.9626e-01 9.0724e-01
2.8184e-01 1.4148e-15 4.5832e-39 9.9646e-01 9.1559e-01
2.9854e-01 1.1096e-15 8.8486e-40 9.9666e-01 9.2326e-01
3.1623e-01 8.5541e-16 1.6733e-40 9.9685e-01 9.3029e-01
3.3497e-01 6.4766e-16 3.0988e-41 9.9702e-01 9.3671e-01
3.5481e-01 4.8132e-16 5.6262e-42 9.9719e-01 9.4258e-01
3.7584e-01 3.5069e-16 9.9936e-43 9.9735e-01 9.4794e-01
3.9811e-01 2.5038e-16 1.7396e-43 9.9749e-01 9.5282e-01
4.2170e-01 1.7501e-16 2.9660e-44 9.9763e-01 9.5726e-01
4.4668e-01 1.1967e-16 4.9560e-45 9.9777e-01 9.6130e-01
4.7315e-01 7.9962e-17 8.1059e-46 9.9789e-01 9.6498e-01
5.0119e-01 5.2171e-17 1.2985e-46 9.9801e-01 9.6831e-01
5.3088e-01 3.3214e-17 2.0389e-47 9.9812e-01 9.7134e-01
5.6234e-01 2.0607e-17 3.1338e-48 9.9822e-01 9.7409e-01
5.9566e-01 1.2451e-17 4.7191e-49 9.9832e-01 9.7658e-01
6.3096e-01 7.3179e-18 6.9586e-50 9.9842e-01 9.7884e-01
6.6834e-01 4.1811e-18 1.0057e-50 9.9851e-01 9.8088e-01
7.0795e-01 2.3190e-18 1.4225e-51 9.9859e-01 9.8273e-01
7.4989e-01 1.2480e-18 1.9725e-52 9.9867e-01 9.8440e-01
7.9433e-01 6.5062e-19 2.6773e-53 9.9874e-01 9.8591e-01
8.4139e-01 3.2842e-19 3.5615e-54 9.9881e-01 9.8728e-01
8.9125e-01 1.6028e-19 4.6383e-55 9.9888e-01 9.8852e-01
9.4406e-01 7.5562e-20 5.9180e-56 9.9894e-01 9.8964e-01
1.0000e+00 3.4373e-20 7.3957e-57 9.9900e-01 9.9065e-01
1.0593e+00 1.5061e-20 9.0387e-58 9.9906e-01 9.9156e-01
1.1220e+00 6.3633e-21 1.0862e-58 9.9911e-01 9.9238e-01
1.1885e+00 2.5825e-21 1.2750e-59 9.9916e-01 9.9313e-01
1.2589e+00 1.0073e-21 1.4677e-60 9.9921e-01 9.9380e-01
1.3335e+00 3.7678e-22 1.6536e-61 9.9925e-01 9.9441e-01
1.4125e+00 1.3509e-22 1.8258e-62 9.9929e-01 9.9495e-01
1.4962e+00 4.6344e-23 1.9736e-63 9.9933e-01 9.9545e-01
1.5849e+00 1.5190e-23 2.0876e-64 9.9937e-01 9.9589e-01
1.6788e+00 4.7566e-24 2.1659e-65 9.9940e-01 9.9630e-01
1.7783e+00 1.4196e-24 2.1992e-66 9.9944e-01 9.9666e-01
1.8836e+00 4.0387e-25 2.1918e-67 9.9947e-01 9.9699e-01
1.9953e+00 1.0907e-25 2.1326e-68 9.9950e-01 9.9728e-01
2.1135e+00 2.8013e-26 2.0372e-69 9.9953e-01 9.9755e-01
2.2387e+00 6.8237e-27 1.9063e-70 9.9955e-01 9.9779e-01
2.3714e+00 1.5730e-27 1.7447e-71 9.9958e-01 9.9801e-01
2.5119e+00 3.4317e-28 1.5658e-72 9.9960e-01 9.9820e-01
2.6607e+00 7.0730e-29 1.3769e-73 9.9962e-01 9.9838e-01
2.8184e+00 1.3737e-29 1.1845e-74 9.9965e-01 9.9854e-01
2.9854e+00 2.5137e-30 9.9879e-76 9.9967e-01 9.9868e-01
3.1623e+00 4.3253e-31 8.2486e-77 9.9968e-01 9.9881e-01
3.3497e+00 6.9867e-32 6.6709e-78 9.9970e-01 9.9893e-01
3.5481e+00 1.0591e-32 5.2914e-79 9.9972e-01 9.9903e-01
3.7584e+00 1.5009e-33 4.1039e-80 9.9973e-01 9.9913e-01
3.9811e+00 1.9890e-34 3.1199e-81 9.9975e-01 9.9921e-01
4.2170e+00 2.4595e-35 2.3232e-82 9.9976e-01 9.9929e-01
4.4668e+00 2.8354e-36 1.6958e-83 9.9978e-01 9.9936e-01
4.7315e+00 3.0378e-37 1.2112e-84 9.9979e-01 9.9942e-01
5.0119e+00 3.0220e-38 8.4729e-86 9.9980e-01 9.9948e-01
