# Wavelength, tau^sca_Ad/NH, tau^sca_PAH/NH, tau^sca_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
9.2951e+00 5.7526e-26 1.5470e-31 5.7526e-26
9.4132e+00 6.3033e-26 1.4710e-31 6.3034e-26
9.5328e+00 6.8055e-26 1.3988e-31 6.8056e-26
9.6539e+00 7.2260e-26 1.3300e-31 7.2260e-26
9.7765e+00 7.5457e-26 1.2647e-31 7.5457e-26
9.9007e+00 7.7462e-26 1.2025e-31 7.7462e-26
1.0027e+01 7.8193e-26 1.1434e-31 7.8193e-26
1.0154e+01 7.7552e-26 1.0872e-31 7.7552e-26
1.0283e+01 7.5788e-26 1.0337e-31 7.5788e-26
1.0414e+01 7.3403e-26 9.8287e-32 7.3403e-26
1.0546e+01 7.0792e-26 9.3449e-32 7.0792e-26
1.0680e+01 6.8098e-26 8.8847e-32 6.8098e-26
1.0815e+01 6.5397e-26 8.4467e-32 6.5397e-26
1.0953e+01 6.2693e-26 8.0295e-32 6.2693e-26
1.1092e+01 5.9933e-26 7.6314e-32 5.9934e-26
1.1233e+01 5.6966e-26 7.2489e-32 5.6966e-26
1.1376e+01 5.3626e-26 6.8624e-32 5.3626e-26
1.1520e+01 5.0209e-26 6.5120e-32 5.0209e-26
1.1667e+01 4.7030e-26 6.3047e-32 4.7030e-26
1.1815e+01 4.4040e-26 5.9660e-32 4.4040e-26
1.1965e+01 4.1113e-26 5.6660e-32 4.1113e-26
1.2117e+01 3.8134e-26 5.3847e-32 3.8134e-26
1.2271e+01 3.5112e-26 5.1186e-32 3.5112e-26
1.2427e+01 3.2144e-26 4.8663e-32 3.2144e-26
1.2585e+01 2.9396e-26 4.6268e-32 2.9396e-26
1.2744e+01 2.7107e-26 4.3992e-32 2.7107e-26
1.2906e+01 2.5259e-26 4.1829e-32 2.5259e-26
1.3070e+01 2.3637e-26 3.9773e-32 2.3637e-26
1.3236e+01 2.2140e-26 3.7819e-32 2.2140e-26
1.3404e+01 2.0801e-26 3.5962e-32 2.0801e-26
1.3575e+01 1.9532e-26 3.4196e-32 1.9532e-26
1.3747e+01 1.8347e-26 3.2517e-32 1.8347e-26
1.3922e+01 1.7239e-26 3.0921e-32 1.7239e-26
1.4099e+01 1.6208e-26 2.9404e-32 1.6208e-26
1.4278e+01 1.5253e-26 2.7960e-32 1.5253e-26
1.4459e+01 1.4374e-26 2.6589e-32 1.4374e-26
1.4643e+01 1.3575e-26 2.5284e-32 1.3575e-26
1.4829e+01 1.2863e-26 2.4044e-32 1.2863e-26
1.5017e+01 1.2241e-26 2.2865e-32 1.2241e-26
1.5208e+01 1.1712e-26 2.1744e-32 1.1712e-26
1.5401e+01 1.1271e-26 2.0677e-32 1.1271e-26
1.5597e+01 1.0911e-26 1.9664e-32 1.0911e-26
1.5795e+01 1.0624e-26 1.8700e-32 1.0624e-26
1.5996e+01 1.0405e-26 1.7783e-32 1.0405e-26
1.6199e+01 1.0243e-26 1.6911e-32 1.0243e-26
1.6405e+01 1.0128e-26 1.6083e-32 1.0128e-26
1.6613e+01 1.0054e-26 1.5295e-32 1.0054e-26
1.6824e+01 1.0003e-26 1.4545e-32 1.0003e-26
1.7038e+01 9.9620e-27 1.3833e-32 9.9620e-27
1.7254e+01 9.9186e-27 1.3155e-32 9.9186e-27
1.7474e+01 9.8673e-27 1.2511e-32 9.8673e-27
1.7696e+01 9.8038e-27 1.1898e-32 9.8038e-27
1.7921e+01 9.7235e-27 1.1316e-32 9.7235e-27
1.8148e+01 9.6245e-27 1.0762e-32 9.6245e-27
1.8379e+01 9.5038e-27 1.0235e-32 9.5038e-27
1.8612e+01 9.3584e-27 9.7344e-33 9.3584e-27
1.8849e+01 9.1840e-27 9.2580e-33 9.1840e-27
1.9088e+01 8.9766e-27 8.8051e-33 8.9766e-27
