# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_0.4x/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  6.278500E-01  3.38596442E-029  3.38596442E-029  8.23617906E-089  4.33140499E-118
  6.381600E-01  3.60377389E-029  3.60377389E-029  6.19664984E-088  8.01137554E-117
  6.486400E-01  3.84397546E-029  3.84397546E-029  4.53596617E-087  1.41424508E-115
  6.593000E-01  4.10636329E-029  4.10636329E-029  3.23553979E-086  2.38923566E-114
  6.701300E-01  4.39160223E-029  4.39160223E-029  2.24446640E-085  3.85289857E-113
  6.811300E-01  4.70079628E-029  4.70079628E-029  1.51449464E-084  5.93238105E-112
  6.923200E-01  5.03412203E-029  5.03412203E-029  9.97549382E-084  8.76517920E-111
  7.036900E-01  5.39281238E-029  5.39281238E-029  6.40423643E-083  1.23983290E-109
  7.152500E-01  5.77891637E-029  5.77891637E-029  4.01558490E-082  1.68306406E-108
  7.270000E-01  6.19294091E-029  6.19294091E-029  2.46029982E-081  2.19281936E-107
  7.389400E-01  6.63448819E-029  6.63448819E-029  1.47317576E-080  2.74174678E-106
  7.510800E-01  7.10670142E-029  7.10670142E-029  8.63998421E-080  3.29752663E-105
  7.634200E-01  7.61070781E-029  7.61070781E-029  4.96754679E-079  3.81619457E-104
  7.759600E-01  8.14486096E-029  8.14486096E-029  2.80166488E-078  4.25071966E-103
  7.887000E-01  8.71186789E-029  8.71186789E-029  1.55080647E-077  4.55838199E-102
  8.016600E-01  9.31464777E-029  9.31464777E-029  8.44997314E-077  4.72482691E-101
  8.148300E-01  9.95281283E-029  9.95281283E-029  4.52607027E-076  4.72544021E-100
  8.282100E-01  1.06254375E-028  1.06254375E-028  2.38379537E-075  4.56285202E-099
  8.418100E-01  1.13361211E-028  1.13361211E-028  1.23575699E-074  4.26272313E-098
  8.556400E-01  1.20879066E-028  1.20879066E-028  6.30983943E-074  3.86077431E-097
  8.697000E-01  1.28780038E-028  1.28780038E-028  3.17103716E-073  3.39118511E-096
  8.839800E-01  1.37085322E-028  1.37085322E-028  1.57009044E-072  2.89203284E-095
  8.985000E-01  1.45832292E-028  1.45832292E-028  7.64888879E-072  2.39825887E-094
  9.132600E-01  1.55009179E-028  1.55009179E-028  3.66165760E-071  1.93449354E-093
  9.282600E-01  1.64605678E-028  1.64605678E-028  1.72077359E-070  1.51854562E-092
  9.435100E-01  1.74664242E-028  1.74664242E-028  7.93873685E-070  1.16205017E-091
  9.590100E-01  1.85199688E-028  1.85199688E-028  3.59576204E-069  8.67764366E-091
  9.747600E-01  1.96211972E-028  1.96211972E-028  1.59734053E-068  6.32396855E-090
  9.907700E-01  2.07704366E-028  2.07704366E-028  6.95534693E-068  4.50156059E-089
  1.007000E+00  2.19667048E-028  2.19667048E-028  2.95627212E-067  3.11539640E-088
  1.023600E+00  2.32230727E-028  2.32230727E-028  1.24200148E-066  2.13301312E-087
  1.040400E+00  2.45263009E-028  2.45263009E-028  5.07996185E-066  1.41617471E-086
  1.057500E+00  2.58848709E-028  2.58848709E-028  2.04032005E-065  9.22221805E-086
  1.074900E+00  2.72985040E-028  2.72985040E-028  8.03740213E-065  5.88366048E-085
  1.092500E+00  2.87569549E-028  2.87569549E-028  3.08103905E-064  3.63782674E-084
  1.110500E+00  3.02839176E-028  3.02839176E-028  1.16650876E-063  2.22375698E-083
  1.128700E+00  3.18520559E-028  3.18520559E-028  4.29682502E-063  1.31625133E-082
  1.147200E+00  3.34770988E-028  3.34770988E-028  1.55272575E-062  7.62096954E-082
  1.166100E+00  3.51750097E-028  3.51750097E-028  5.53525817E-062  4.35068731E-081
  1.185200E+00  3.69128803E-028  3.69128803E-028  1.92029866E-061  2.40274924E-080
  1.204700E+00  3.87193134E-028  3.87193134E-028  6.56815226E-061  1.30632824E-079
  1.224500E+00  4.05852071E-028  4.05852071E-028  2.20046026E-060  6.92613973E-079
  1.244600E+00  4.25053908E-028  4.25053908E-028  7.22026309E-060  3.58033877E-078
  1.265100E+00  4.44924542E-028  4.44924542E-028  2.33412843E-059  1.81881456E-077
  1.285800E+00  4.65172753E-028  4.65172753E-028  7.34991559E-059  8.93545201E-077
  1.307000E+00  4.86227351E-028  4.86227351E-028  2.29222792E-058  4.34304960E-076
  1.328400E+00  5.07631754E-028  5.07631754E-028  6.96734561E-058  2.04183450E-075
  1.350200E+00  5.29626855E-028  5.29626855E-028  2.08734328E-057  9.42591753E-075
  1.372400E+00  5.52310601E-028  5.52310601E-028  6.17228160E-057  4.27549441E-074
  1.395000E+00  5.75607215E-028  5.75607215E-028  1.79774937E-056  1.90267121E-073
  1.417900E+00  5.99310703E-028  5.99310703E-028  5.13364773E-056  8.25452269E-073
  1.441200E+00  6.23663111E-028  6.23663111E-028  1.44441985E-055  3.51445639E-072
  1.464800E+00  6.48486115E-028  6.48486115E-028  3.98811893E-055  1.46004052E-071
  1.488900E+00  6.74006597E-028  6.74006597E-028  1.09110303E-054  5.99534246E-071
  1.513400E+00  7.00089060E-028  7.00089060E-028  2.94364913E-054  2.41778835E-070
  1.538200E+00  7.26625711E-028  7.26625711E-028  7.80385236E-054  9.52643854E-070
  1.563500E+00  7.53870561E-028  7.53870561E-028  2.04961833E-053  3.70902547E-069
  1.589200E+00  7.81620404E-028  7.81620404E-028  5.31574698E-053  1.41977921E-068
  1.615300E+00  8.09951177E-028  8.09951177E-028  1.36225396E-052  5.34562716E-068
  1.641800E+00  8.38860231E-028  8.38860231E-028  3.45188725E-052  1.98047748E-067
  1.668800E+00  8.68406795E-028  8.68406795E-028  8.68400105E-052  7.25698092E-067
  1.696200E+00  8.98371716E-028  8.98371716E-028  2.16277429E-051  2.61800955E-066
  1.724000E+00  9.28810800E-028  9.28810800E-028  5.33645880E-051  9.29891048E-066
  1.752400E+00  9.59977753E-028  9.59977753E-028  1.31417714E-050  3.28234253E-065
  1.781100E+00  9.91312655E-028  9.91312655E-028  3.20458347E-050  1.13677386E-064
  1.810400E+00  1.02338264E-027  1.02338264E-027  7.80039052E-050  3.90870429E-064
  1.840100E+00  1.05580356E-027  1.05580356E-027  1.88371610E-049  1.32255592E-063
  1.870400E+00  1.08887388E-027  1.08887388E-027  4.54045037E-049  4.43802048E-063
  1.901100E+00  1.12220836E-027  1.12220836E-027  1.08548890E-048  1.46410705E-062
  1.932300E+00  1.15608108E-027  1.15608108E-027  2.57938286E-048  4.76439700E-062
  1.964100E+00  1.19055940E-027  1.19055940E-027  6.10751465E-048  1.53432691E-061
  1.996300E+00  1.22521165E-027  1.22521165E-027  1.43246773E-047  4.85211845E-061
  2.029100E+00  1.26051069E-027  1.26051069E-027  3.34280919E-047  1.51653349E-060
  2.062400E+00  1.29618451E-027  1.29618451E-027  7.73517743E-047  4.66651304E-060
  2.096300E+00  1.33242842E-027  1.33242842E-027  1.77935023E-046  1.41827181E-059
  2.130700E+00  1.36904169E-027  1.36904169E-027  4.05505996E-046  4.24106619E-059
  2.165700E+00  1.40608019E-027  1.40608019E-027  9.16477025E-046  1.25091230E-058
  2.201300E+00  1.44360062E-027  1.44360062E-027  2.05260797E-045  3.63724274E-058
  2.237500E+00  1.48173299E-027  1.48173299E-027  4.55264004E-045  1.04226098E-057
  2.274200E+00  1.52042259E-027  1.52042259E-027  9.97506596E-045  2.93434941E-057
  2.311600E+00  1.56008513E-027  1.56008513E-027  2.16869967E-044  8.16356721E-057
  2.349600E+00  1.60045714E-027  1.60045714E-027  4.66230508E-044  2.23632130E-056
  2.388100E+00  1.64136016E-027  1.64136016E-027  9.88864001E-044  6.01585454E-056
  2.427400E+00  1.68384097E-027  1.68384097E-027  2.08059189E-043  1.60119421E-055
  2.467200E+00  1.72712360E-027  1.72712360E-027  4.31687253E-043  4.18473734E-055
  2.507800E+00  1.77202445E-027  1.77202445E-027  8.89237889E-043  1.08259057E-054
  2.549000E+00  1.81804019E-027  1.81804019E-027  1.80938470E-042  2.75705111E-054
  2.590800E+00  1.86551238E-027  1.86551238E-027  3.63562067E-042  6.91195589E-054
  2.633400E+00  1.91572675E-027  1.91572675E-027  7.23678732E-042  1.71318794E-053
  2.676600E+00  1.96898642E-027  1.96898642E-027  1.42222071E-041  4.18062416E-053
  2.720600E+00  2.02652465E-027  2.02652465E-027  2.76828591E-041  1.00859957E-052
  2.765300E+00  2.09006794E-027  2.09006794E-027  5.32817829E-041  2.40100956E-052
  2.810700E+00  2.16243970E-027  2.16243970E-027  1.01385168E-040  5.64038233E-052
  2.856900E+00  2.24808861E-027  2.24808861E-027  1.90990545E-040  1.31023159E-051
  2.903800E+00  2.35398239E-027  2.35398239E-027  3.55684920E-040  3.00470601E-051
  2.951500E+00  2.49315336E-027  2.49315336E-027  6.56021763E-040  6.81796404E-051
  3.000000E+00  2.69054876E-027  2.69054876E-027  1.19996614E-039  1.53203089E-050
  3.015900E+00  2.77478915E-027  2.77478915E-027  1.45633730E-039  1.98754209E-050
  3.032000E+00  2.87367617E-027  2.87367617E-027  1.76802022E-039  2.58053816E-050
  3.048100E+00  2.99044204E-027  2.99044204E-027  2.14187696E-039  3.34224810E-050
  3.064300E+00  3.13069199E-027  3.13069199E-027  2.59251359E-039  4.32520971E-050
  3.080600E+00  3.30225383E-027  3.30225383E-027  3.13509476E-039  5.59271583E-050
  3.096900E+00  3.51541569E-027  3.51541569E-027  3.78341846E-039  7.21502336E-050
  3.113400E+00  3.78659713E-027  3.78659713E-027  4.56687162E-039  9.31578507E-050
  3.130000E+00  4.13975402E-027  4.13975402E-027  5.50753040E-039  1.20189423E-049
  3.146600E+00  4.61244615E-027  4.61244615E-027  6.62846601E-039  1.54715520E-049
  3.163300E+00  5.26738488E-027  5.26738488E-027  7.97024235E-039  1.99009377E-049
  3.180100E+00  6.21310230E-027  6.21310230E-027  9.57484566E-039  2.55795812E-049
  3.197000E+00  7.65068551E-027  7.65068551E-027  1.14920373E-038  3.28537846E-049
  3.214000E+00  9.98561695E-027  9.98561695E-027  1.37776446E-038  4.21628818E-049
  3.231100E+00  1.41285169E-026  1.41285169E-026  1.64945681E-038  5.40578388E-049
  3.248300E+00  2.24218002E-026  2.24218002E-026  1.97295444E-038  6.92557382E-049
  3.265500E+00  4.19736731E-026  4.19736731E-026  2.35521665E-038  8.85356151E-049
  3.282900E+00  9.52401354E-026  9.52401354E-026  2.81183396E-038  1.13254483E-048
  3.300300E+00  1.66626082E-025  1.66626082E-025  3.35052345E-038  1.44557440E-048
  3.317900E+00  9.40941027E-026  9.40941027E-026  3.99265052E-038  1.84638829E-048
  3.335500E+00  4.25383741E-026  4.25383741E-026  4.74871888E-038  2.35343932E-048
  3.353200E+00  2.33309039E-026  2.33309039E-026  5.64265922E-038  2.99767170E-048
  3.371100E+00  1.50440155E-026  1.50440155E-026  6.70512648E-038  3.82080525E-048
  3.389000E+00  1.08476675E-026  1.08476675E-026  7.95244355E-038  4.86023752E-048
  3.407000E+00  8.45899861E-027  8.45899861E-027  9.42335100E-038  6.17787378E-048
  3.425100E+00  6.97921228E-027  6.97921228E-027  1.11556146E-037  7.84790069E-048
  3.443300E+00  6.00309310E-027  6.00309310E-027  1.31942429E-037  9.96262110E-048
  3.461600E+00  5.32756509E-027  5.32756509E-027  1.55906442E-037  1.26391642E-047
  3.480000E+00  4.84227790E-027  4.84227789E-027  1.84051801E-037  1.60244508E-047
  3.498500E+00  4.48329550E-027  4.48329550E-027  2.17075365E-037  2.03034149E-047
  3.517100E+00  4.21126278E-027  4.21126278E-027  2.55886258E-037  2.57134639E-047
  3.535800E+00  4.00126824E-027  4.00126824E-027  3.01379370E-037  3.25447642E-047
  3.554600E+00  3.83658763E-027  3.83658763E-027  3.54619284E-037  4.11658432E-047
  3.573500E+00  3.70583816E-027  3.70583816E-027  4.16869363E-037  5.20360064E-047
  3.592500E+00  3.60111234E-027  3.60111234E-027  4.89601527E-037  6.57363584E-047
  3.611500E+00  3.51632863E-027  3.51632863E-027  5.73997334E-037  8.28889870E-047
  3.630700E+00  3.44760650E-027  3.44760650E-027  6.72890923E-037  1.04577731E-046
  3.650000E+00  3.39165528E-027  3.39165528E-027  7.88077421E-037  1.31858123E-046
  3.669400E+00  3.34608748E-027  3.34608748E-027  9.22127026E-037  1.66149186E-046
  3.688900E+00  3.30905036E-027  3.30905036E-027  1.07798448E-036  2.09220797E-046
  3.708500E+00  3.27921275E-027  3.27921275E-027  1.25900034E-036  2.63280151E-046
  3.728300E+00  3.25544440E-027  3.25544440E-027  1.47018775E-036  3.31483055E-046
  3.748100E+00  3.23641126E-027  3.23641126E-027  1.71388280E-036  4.16587972E-046
  3.768000E+00  3.22199739E-027  3.22199739E-027  1.99611081E-036  5.23178330E-046
  3.788000E+00  3.21124834E-027  3.21124834E-027  2.32263592E-036  6.56617200E-046
  3.808100E+00  3.20377507E-027  3.20377507E-027  2.70009829E-036  8.23502841E-046
  3.828400E+00  3.19944919E-027  3.19944918E-027  3.13709997E-036  1.03306263E-045
  3.848700E+00  3.19736401E-027  3.19736401E-027  3.63740495E-036  1.29336186E-045
  3.869200E+00  3.19764415E-027  3.19764415E-027  4.21660864E-036  1.61992420E-045
  3.889700E+00  3.19977343E-027  3.19977343E-027  4.87997982E-036  2.02515337E-045
  3.910400E+00  3.20376426E-027  3.20376425E-027  5.64667592E-036  2.53278641E-045
  3.931200E+00  3.20933628E-027  3.20933627E-027  6.52753053E-036  3.16514456E-045
  3.952100E+00  3.21652842E-027  3.21652841E-027  7.53895234E-036  3.95231087E-045
  3.973100E+00  3.22494208E-027  3.22494208E-027  8.69909244E-036  4.93127919E-045
  3.994200E+00  3.23454976E-027  3.23454975E-027  1.00283434E-035  6.14762232E-045
  4.015400E+00  3.24526642E-027  3.24526641E-027  1.15503646E-035  7.65776752E-045
  4.036800E+00  3.25715751E-027  3.25715749E-027  1.32998234E-035  9.54085178E-045
  4.058200E+00  3.26994990E-027  3.26994988E-027  1.52900607E-035  1.18643550E-044
  4.079800E+00  3.28398775E-027  3.28398773E-027  1.75735865E-035  1.47561540E-044
  4.101500E+00  3.29890550E-027  3.29890548E-027  2.01797301E-035  1.83364248E-044
  4.123300E+00  3.31483251E-027  3.31483249E-027  2.31506095E-035  2.27644259E-044
  4.145200E+00  3.33163161E-027  3.33163158E-027  2.65353394E-035  2.82331530E-044
  4.167200E+00  3.34922252E-027  3.34922249E-027  3.03919024E-035  3.49854280E-044
  4.189400E+00  3.36796892E-027  3.36796888E-027  3.48420391E-035  4.33763621E-044
  4.211700E+00  3.38747861E-027  3.38747857E-027  3.99089504E-035  5.37289869E-044
  4.234000E+00  3.40764436E-027  3.40764432E-027  4.56437153E-035  6.64246437E-044
  4.256500E+00  3.42883074E-027  3.42883069E-027  5.21865692E-035  8.21211073E-044
  4.279200E+00  3.45099191E-027  3.45099185E-027  5.96485381E-035  1.01519283E-043
  4.301900E+00  3.47384183E-027  3.47384176E-027  6.80772053E-035  1.25260158E-043
  4.324800E+00  3.49783628E-027  3.49783621E-027  7.76716783E-035  1.54536188E-043
  4.347700E+00  3.52262178E-027  3.52262169E-027  8.84902622E-035  1.90291000E-043
  4.370900E+00  3.54855221E-027  3.54855211E-027  1.00839201E-034  2.34499727E-043
  4.394100E+00  3.57548040E-027  3.57548028E-027  1.14743308E-034  2.88418733E-043
  4.417400E+00  3.60341590E-027  3.60341577E-027  1.30451839E-034  3.54366755E-043
  4.440900E+00  3.63249354E-027  3.63249340E-027  1.48259035E-034  4.35348516E-043
  4.464500E+00  3.66295363E-027  3.66295346E-027  1.68346798E-034  5.34256196E-043
  4.488200E+00  3.69471153E-027  3.69471134E-027  1.90991185E-034  6.54975865E-043
  4.512100E+00  3.72785739E-027  3.72785717E-027  2.16602776E-034  8.02774438E-043
  4.536100E+00  3.76254746E-027  3.76254721E-027  2.45430581E-034  9.82859523E-043
  4.560200E+00  3.79865552E-027  3.79865525E-027  2.77678889E-034  1.20172194E-042
  4.584400E+00  3.83630392E-027  3.83630361E-027  3.13818289E-034  1.46756208E-042
  4.608800E+00  3.87587613E-027  3.87587578E-027  3.54523241E-034  1.79170679E-042
  4.633300E+00  3.91719491E-027  3.91719451E-027  4.00161317E-034  2.18496936E-042
  4.657900E+00  3.96047363E-027  3.96047318E-027  4.51275243E-034  2.66157297E-042
  4.682700E+00  4.00630750E-027  4.00630699E-027  5.08727347E-034  3.24101733E-042
