# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  2.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  7.822280E-01  4.53392852E-028  4.20349479E-029  2.84427975E-028  1.26929929E-028
  7.928060E-01  4.72210364E-028  3.91727658E-029  3.00059596E-028  1.32978003E-028
  8.035260E-01  4.92025303E-028  3.64937764E-029  3.16347656E-028  1.39183871E-028
  8.143920E-01  5.12899209E-028  3.39865784E-029  3.33375250E-028  1.45537380E-028
  8.254040E-01  5.34746522E-028  3.16417935E-029  3.51051469E-028  1.52053259E-028
  8.365660E-01  5.57575127E-028  2.94503595E-029  3.69393322E-028  1.58731445E-028
  8.478780E-01  5.81376212E-028  2.74046737E-029  3.88403330E-028  1.65568208E-028
  8.593430E-01  6.06156731E-028  2.54974595E-029  4.08096776E-028  1.72562495E-028
  8.709640E-01  6.31916444E-028  2.37219141E-029  4.28483230E-028  1.79711301E-028
  8.827410E-01  6.58648049E-028  2.20723706E-029  4.49566081E-028  1.87009597E-028
  8.946780E-01  6.86357277E-028  2.05430145E-029  4.71356747E-028  1.94457515E-028
  9.067760E-01  7.15169474E-028  1.91286793E-029  4.94008609E-028  2.02032186E-028
  9.190380E-01  7.45076174E-028  1.78246855E-029  5.17517452E-028  2.09734037E-028
  9.314650E-01  7.75983409E-028  1.66264251E-029  5.41789462E-028  2.17567521E-028
  9.440610E-01  8.07901155E-028  1.55297427E-029  5.66838442E-028  2.25532970E-028
  9.568270E-01  8.40820084E-028  1.45306856E-029  5.92667693E-028  2.33621705E-028
  9.697650E-01  8.74732878E-028  1.36256264E-029  6.19277563E-028  2.41829688E-028
  9.828790E-01  9.09650472E-028  1.28108763E-029  6.46687822E-028  2.50151773E-028
  9.961700E-01  9.45555751E-028  1.20833875E-029  6.74887794E-028  2.58584569E-028
  1.009640E+00  9.82890435E-028  1.14400131E-029  7.04314017E-028  2.67136405E-028
  1.023290E+00  1.02142289E-027  1.08779680E-029  7.34752873E-028  2.75792054E-028
  1.037130E+00  1.06102341E-027  1.03943080E-029  7.66081629E-028  2.84547468E-028
  1.051150E+00  1.10163855E-027  9.98695708E-030  7.98267661E-028  2.93383935E-028
  1.065370E+00  1.14333267E-027  9.65315045E-030  8.31369878E-028  3.02309638E-028
  1.079780E+00  1.18604809E-027  9.39114399E-030  8.65348463E-028  3.11308485E-028
  1.094380E+00  1.22976422E-027  9.19901830E-030  9.00194156E-028  3.20371047E-028
  1.109170E+00  1.27446472E-027  9.07500699E-030  9.35901406E-028  3.29488306E-028
  1.124170E+00  1.32021577E-027  9.01745664E-030  9.72529744E-028  3.38668571E-028
  1.139380E+00  1.36832415E-027  9.02516849E-030  1.01141736E-027  3.47881630E-028
  1.154780E+00  1.41780511E-027  9.09694614E-030  1.05159289E-027  3.57115272E-028
