# Polarized extinction per H: this code vs HD23 release
# lambda[um]  ours[cm^2/H]  reference[cm^2/H]  ratio
  3.498900E+01  7.947968E-25  7.949500E-25  9.998073E-01
  3.543300E+01  7.730561E-25  7.733700E-25  9.995941E-01
  3.588300E+01  7.520374E-25  7.524400E-25  9.994650E-01
  3.633900E+01  7.318876E-25  7.320400E-25  9.997918E-01
  3.680100E+01  7.116076E-25  7.118000E-25  9.997297E-01
  3.726800E+01  6.921160E-25  6.924800E-25  9.994743E-01
  3.774200E+01  6.732670E-25  6.735400E-25  9.995947E-01
  3.822100E+01  6.548577E-25  6.549700E-25  9.998286E-01
  3.870700E+01  6.368599E-25  6.371400E-25  9.995603E-01
  3.919900E+01  6.194344E-25  6.197700E-25  9.994585E-01
  3.969700E+01  6.026319E-25  6.028600E-25  9.996216E-01
  4.020100E+01  5.864279E-25  5.867100E-25  9.995191E-01
  4.071200E+01  5.701802E-25  5.703300E-25  9.997374E-01
  4.122900E+01  5.548911E-25  5.550400E-25  9.997317E-01
  4.175300E+01  5.399282E-25  5.400500E-25  9.997745E-01
  4.228300E+01  5.249626E-25  5.251400E-25  9.996621E-01
  4.282000E+01  5.105845E-25  5.107100E-25  9.997542E-01
  4.336400E+01  4.966965E-25  4.968800E-25  9.996307E-01
  4.391500E+01  4.832805E-25  4.834000E-25  9.997529E-01
  4.447300E+01  4.703847E-25  4.704300E-25  9.999038E-01
  4.503800E+01  4.574499E-25  4.574600E-25  9.999779E-01
  4.561000E+01  4.449789E-25  4.450700E-25  9.997954E-01
  4.619000E+01  4.330157E-25  4.331800E-25  9.996206E-01
  4.677700E+01  4.211851E-25  4.214700E-25  9.993240E-01
  4.737100E+01  4.098897E-25  4.101300E-25  9.994142E-01
  4.797300E+01  3.987220E-25  3.989200E-25  9.995035E-01
  4.858200E+01  3.879055E-25  3.880000E-25  9.997564E-01
  4.919900E+01  3.776176E-25  3.777500E-25  9.996496E-01
  4.982400E+01  3.672859E-25  3.674200E-25  9.996351E-01
  5.045700E+01  3.574110E-25  3.575100E-25  9.997232E-01
  5.109800E+01  3.478231E-25  3.479200E-25  9.997216E-01
  5.174700E+01  3.384707E-25  3.385700E-25  9.997068E-01
  5.240500E+01  3.292718E-25  3.294100E-25  9.995806E-01
  5.307100E+01  3.204491E-25  3.204900E-25  9.998725E-01
  5.374500E+01  3.117864E-25  3.119500E-25  9.994757E-01
  5.442800E+01  3.035768E-25  3.036400E-25  9.997919E-01
  5.511900E+01  2.953356E-25  2.954900E-25  9.994775E-01
  5.581900E+01  2.874512E-25  2.875600E-25  9.996217E-01
  5.652800E+01  2.797475E-25  2.798600E-25  9.995979E-01
  5.724700E+01  2.722359E-25  2.723700E-25  9.995077E-01
  5.797400E+01  2.649516E-25  2.650700E-25  9.995534E-01
  5.871000E+01  2.578987E-25  2.580200E-25  9.995298E-01
  5.945600E+01  2.510714E-25  2.511300E-25  9.997666E-01
  6.021200E+01  2.444691E-25  2.445200E-25  9.997919E-01
  6.097700E+01  2.378800E-25  2.379800E-25  9.995797E-01
  6.175100E+01  2.315806E-25  2.316900E-25  9.995279E-01
  6.253600E+01  2.253591E-25  2.254400E-25  9.996410E-01
  6.333000E+01  2.194526E-25  2.194700E-25  9.999205E-01
  6.413500E+01  2.136556E-25  2.137000E-25  9.997921E-01
  6.494900E+01  2.080277E-25  2.080800E-25  9.997486E-01
  6.577500E+01  2.025271E-25  2.026000E-25  9.996402E-01
  6.661000E+01  1.971258E-25  1.972200E-25  9.995223E-01
  6.745600E+01  1.919763E-25  1.920300E-25  9.997203E-01
  6.831300E+01  1.869131E-25  1.869800E-25  9.996421E-01
  6.918100E+01  1.820071E-25  1.820700E-25  9.996545E-01
  7.006000E+01  1.771833E-25  1.772600E-25  9.995672E-01
  7.095000E+01  1.725243E-25  1.725900E-25  9.996193E-01
  7.185200E+01  1.680384E-25  1.681100E-25  9.995740E-01
  7.276400E+01  1.636244E-25  1.636900E-25  9.995992E-01
  7.368900E+01  1.593798E-25  1.594400E-25  9.996225E-01
  7.462500E+01  1.551830E-25  1.552300E-25  9.996972E-01
  7.557300E+01  1.511227E-25  1.511600E-25  9.997532E-01
  7.653300E+01  1.471957E-25  1.472300E-25  9.997667E-01
  7.750500E+01  1.433992E-25  1.434600E-25  9.995759E-01
  7.849000E+01  1.396322E-25  1.397000E-25  9.995144E-01
  7.948700E+01  1.360128E-25  1.360600E-25  9.996532E-01
  8.049700E+01  1.325144E-25  1.325600E-25  9.996561E-01
  8.152000E+01  1.290407E-25  1.290900E-25  9.996178E-01
  8.255500E+01  1.257250E-25  1.257600E-25  9.997215E-01
  8.360400E+01  1.224633E-25  1.224900E-25  9.997824E-01
  8.466600E+01  1.192993E-25  1.193400E-25  9.996590E-01
  8.574200E+01  1.162185E-25  1.162600E-25  9.996429E-01
  8.683100E+01  1.132371E-25  1.132700E-25  9.997095E-01
  8.793400E+01  1.103160E-25  1.103400E-25  9.997825E-01
  8.905100E+01  1.074583E-25  1.075100E-25  9.995195E-01
  9.018300E+01  1.047604E-25  1.047900E-25  9.997178E-01
  9.132800E+01  1.020452E-25  1.020800E-25  9.996588E-01
  9.248900E+01  9.941157E-26  9.944600E-26  9.996538E-01
  9.366400E+01  9.688489E-26  9.692100E-26  9.996274E-01
  9.485400E+01  9.441773E-26  9.443800E-26  9.997854E-01
  9.605900E+01  9.202561E-26  9.204800E-26  9.997568E-01
  9.727900E+01  8.966940E-26  8.969400E-26  9.997257E-01
  9.851500E+01  8.739011E-26  8.740500E-26  9.998296E-01
  9.976600E+01  8.516936E-26  8.519300E-26  9.997225E-01
  1.010300E+02  8.308415E-26  8.304200E-26  1.000508E+00
  1.023200E+02  8.085618E-26  8.093700E-26  9.990015E-01
  1.036200E+02  7.883778E-26  7.888900E-26  9.993508E-01
  1.049300E+02  7.684743E-26  7.688600E-26  9.994984E-01
  1.062700E+02  7.491052E-26  7.494500E-26  9.995399E-01
  1.076200E+02  7.305858E-26  7.304000E-26  1.000254E+00
  1.089800E+02  7.123670E-26  7.121300E-26  1.000333E+00
  1.103700E+02  6.942473E-26  6.943300E-26  9.998809E-01
  1.117700E+02  6.764454E-26  6.767200E-26  9.995942E-01
  1.131900E+02  6.593819E-26  6.595800E-26  9.996996E-01
  1.146300E+02  6.429310E-26  6.432500E-26  9.995041E-01
  1.160800E+02  6.263101E-26  6.269900E-26  9.989157E-01
  1.175600E+02  6.113336E-26  6.115100E-26  9.997116E-01
  1.190500E+02  5.955366E-26  5.961600E-26  9.989543E-01
  1.205700E+02  5.808751E-26  5.813500E-26  9.991831E-01
  1.221000E+02  5.663755E-26  5.667500E-26  9.993392E-01
  1.236500E+02  5.522917E-26  5.528000E-26  9.990805E-01
  1.252200E+02  5.387017E-26  5.390000E-26  9.994465E-01
  1.268100E+02  5.252711E-26  5.256300E-26  9.993172E-01
  1.284200E+02  5.122872E-26  5.126500E-26  9.992923E-01
  1.300500E+02  4.997255E-26  5.000200E-26  9.994110E-01
  1.317000E+02  4.871796E-26  4.875100E-26  9.993223E-01
  1.333800E+02  4.756304E-26  4.754900E-26  1.000295E+00
  1.350700E+02  4.637283E-26  4.638500E-26  9.997377E-01
  1.367900E+02  4.524745E-26  4.524500E-26  1.000054E+00
  1.385300E+02  4.409506E-26  4.413700E-26  9.990498E-01
  1.402900E+02  4.301072E-26  4.305400E-26  9.989947E-01
  1.420700E+02  4.197130E-26  4.199900E-26  9.993404E-01
  1.438700E+02  4.094638E-26  4.097100E-26  9.993991E-01
  1.457000E+02  3.994031E-26  3.996800E-26  9.993071E-01
  1.475500E+02  3.897453E-26  3.899100E-26  9.995777E-01
  1.494300E+02  3.801392E-26  3.803700E-26  9.993933E-01
  1.513200E+02  3.711834E-26  3.711100E-26  1.000198E+00
  1.532500E+02  3.618993E-26  3.620400E-26  9.996115E-01
  1.551900E+02  3.532815E-26  3.532500E-26  1.000089E+00
  1.571700E+02  3.446000E-26  3.446500E-26  9.998549E-01
  1.591600E+02  3.362896E-26  3.363600E-26  9.997906E-01
  1.611800E+02  3.281821E-26  3.282700E-26  9.997322E-01
  1.632300E+02  3.203139E-26  3.202800E-26  1.000106E+00
  1.653100E+02  3.125810E-26  3.125600E-26  1.000067E+00
  1.674100E+02  3.049336E-26  3.049400E-26  9.999790E-01
  1.695300E+02  2.976192E-26  2.977400E-26  9.995943E-01
