# MRN (1977) model SED (this work), Mathis ISRF U =  1.00
# graphite + silicate spheres, dn/da = A_i a^-3.5, 0.005 - 0.25 um, Mie on the D03 dielectric functions
# normalization: Draine & Lee (1984), log10 A = -25.16 (graphite), -25.11 (silicate) [cm^2.5/H]
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  6.761000E-01  1.64676772E-119  1.64676772E-119  2.95237423E-158
  6.839000E-01  1.30894268E-118  1.30894268E-118  6.68682602E-157
  6.918000E-01  1.02208122E-117  1.02208122E-117  1.46765432E-155
  6.998000E-01  7.83956931E-117  7.83956931E-117  3.12085490E-154
  7.079000E-01  5.90768685E-116  5.90768685E-116  6.42815199E-153
  7.161000E-01  4.37261886E-115  4.37261886E-115  1.28225797E-151
  7.244000E-01  3.17861737E-114  3.17861737E-114  2.47673116E-150
  7.328000E-01  2.26927293E-113  2.26927293E-113  4.63178623E-149
  7.413000E-01  1.59099227E-112  1.59099227E-112  8.38590227E-148
  7.499000E-01  1.09537941E-111  1.09537941E-111  1.46980940E-146
  7.586000E-01  7.40559156E-111  7.40559156E-111  2.49386318E-145
  7.674000E-01  4.91630004E-110  4.91630004E-110  4.09625130E-144
  7.763000E-01  3.20469513E-109  3.20469513E-109  6.51352136E-143
  7.852000E-01  2.00968264E-108  2.00968264E-108  9.73059673E-142
  7.943000E-01  1.26347317E-107  1.26347317E-107  1.45135806E-140
  8.035000E-01  7.80037288E-107  7.80037288E-107  2.09596853E-139
  8.128000E-01  4.72955867E-106  4.72955867E-106  2.93091147E-138
  8.222000E-01  2.81561429E-105  2.81561429E-105  3.96951424E-137
  8.318000E-01  1.67635805E-104  1.67635805E-104  5.34919403E-136
  8.414000E-01  9.61778514E-104  9.61778514E-104  6.79520575E-135
  8.511000E-01  5.41840984E-103  5.41840984E-103  8.36493618E-134
  8.610000E-01  3.04988485E-102  3.04988485E-102  1.02333317E-132
  8.710000E-01  1.68472910E-101  1.68472910E-101  1.21229366E-131
  8.810000E-01  8.98394430E-101  8.98394430E-101  1.35824421E-130
  8.913000E-01  4.86106486E-100  4.86106486E-100  1.54657690E-129
  9.016000E-01  2.54003318E-099  2.54003318E-099  1.66641491E-128
  9.120000E-01  1.30371630E-098  1.30371630E-098  1.74053891E-127
  9.226000E-01  6.67270234E-098  6.67270234E-098  1.80184554E-126
  9.333000E-01  3.35261160E-097  3.35261160E-097  1.80770854E-125
  9.441000E-01  1.65394685E-096  1.65394685E-096  1.75822009E-124
  9.550000E-01  8.01334245E-096  8.01334245E-096  1.65848481E-123
  9.661000E-01  3.86771969E-095  3.86771969E-095  1.54826879E-122
  9.772000E-01  1.80813042E-094  1.80813042E-094  1.37456611E-121
  9.886000E-01  8.53422086E-094  8.53422086E-094  1.23080605E-120
  1.000000E+00  3.90346473E-093  3.90346473E-093  1.04896480E-119
  1.012000E+00  1.87315198E-092  1.87315198E-092  9.50559765E-119
  1.023000E+00  7.66524268E-092  7.66524268E-092  6.85438802E-118
  1.035000E+00  3.45952339E-091  3.45952339E-091  5.64234668E-117
  1.047000E+00  1.51453231E-090  1.51453231E-090  4.42888127E-116
  1.059000E+00  6.43776260E-090  6.43776260E-090  3.32040913E-115
  1.071000E+00  2.65939350E-089  2.65939350E-089  2.38144917E-114
  1.084000E+00  1.19838774E-088  1.19838774E-088  1.91795566E-113
  1.097000E+00  5.23279091E-088  5.23279091E-088  1.47170609E-112
  1.109000E+00  1.98540929E-087  1.98540929E-087  9.26271377E-112
  1.122000E+00  8.18157895E-087  8.18157895E-087  6.50772142E-111
  1.135000E+00  3.27841796E-086  3.27841796E-086  4.37753912E-110
  1.148000E+00  1.27808791E-085  1.27808791E-085  2.82369670E-109
  1.161000E+00  4.84873472E-085  4.84873472E-085  1.74922505E-108
  1.175000E+00  1.97870023E-084  1.97870023E-084  1.19361330E-107
  1.189000E+00  7.83737509E-084  7.83737509E-084  7.79758928E-107
  1.202000E+00  2.74144323E-083  2.74144323E-083  4.29047805E-106
  1.216000E+00  1.02755129E-082  1.02755129E-082  2.58856783E-105
  1.230000E+00  3.74722579E-082  3.74722579E-082  1.50194214E-104
  1.245000E+00  1.45514204E-081  1.45514204E-081  9.47952266E-104
  1.259000E+00  5.02656970E-081  5.02656970E-081  5.09859777E-103
  1.273000E+00  1.69343016E-080  1.69343016E-080  2.64801381E-102
