# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20/NH  lamI_CM20/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  3.065700E-01  1.79174401E-028  1.79174401E-028  2.45058081E-040  1.89329685E-078  2.13863556E-078
  3.116000E-01  2.09967941E-028  2.09967941E-028  3.44438206E-040  8.26558183E-078  9.33067712E-078
  3.167200E-01  2.43573924E-028  2.43573924E-028  4.79408263E-040  3.52976833E-077  3.98207525E-077
  3.219200E-01  2.82055179E-028  2.82055179E-028  6.63277735E-040  1.47159251E-076  1.65919118E-076
  3.272100E-01  3.23573094E-028  3.23573094E-028  9.09095363E-040  6.00573301E-076  6.76702884E-076
  3.325800E-01  3.69896674E-028  3.69896674E-028  1.23743147E-039  2.39519831E-075  2.69707156E-075
  3.380500E-01  4.19745077E-028  4.19745077E-028  1.67107709E-039  9.38593232E-075  1.05624335E-074
  3.436000E-01  4.73590267E-028  4.73590267E-028  2.23849090E-039  3.59823575E-074  4.04672051E-074
  3.492400E-01  5.31540179E-028  5.31540179E-028  2.97704703E-039  1.35442589E-073  1.52213982E-073
  3.549800E-01  5.91792405E-028  5.91792405E-028  3.92557835E-039  5.01803356E-073  5.63545036E-073
  3.608100E-01  6.57343935E-028  6.57343935E-028  5.14738570E-039  1.82891642E-072  2.05225743E-072
  3.667400E-01  7.21885856E-028  7.21885856E-028  6.67980550E-039  6.56631906E-072  7.36165327E-072
  3.727600E-01  7.93932406E-028  7.93932406E-028  8.63737041E-039  2.33017553E-071  2.61012786E-071
  3.788800E-01  8.61108570E-028  8.61108570E-028  1.10383909E-038  8.16206799E-071  9.13406392E-071
  3.851100E-01  9.36934690E-028  9.36934690E-028  1.40788723E-038  2.86207472E-070  3.19966529E-070
  3.914300E-01  1.00605422E-027  1.00605422E-027  1.77487122E-038  9.89131294E-070  1.10451217E-069
  3.978600E-01  1.08077141E-027  1.08077141E-027  2.22967595E-038  3.38346784E-069  3.77387119E-069
  4.044000E-01  1.14988821E-027  1.14988821E-027  2.77568337E-038  1.14629256E-068  1.27706983E-068
  4.110400E-01  1.21974129E-027  1.21974129E-027  3.43560634E-038  3.84074675E-068  4.27369277E-068
  4.177900E-01  1.28657550E-027  1.28657550E-027  4.22367985E-038  1.27387212E-067  1.41571619E-067
  4.246600E-01  1.34783921E-027  1.34783921E-027  5.15431697E-038  4.18625965E-067  4.64663408E-067
  4.316300E-01  1.41061191E-027  1.41061191E-027  6.26388960E-038  1.35818838E-066  1.50571492E-066
  4.387200E-01  1.45952716E-027  1.45952716E-027  7.53742209E-038  4.35760131E-066  4.82516500E-066
  4.459300E-01  1.51701789E-027  1.51701789E-027  9.09898310E-038  1.38301631E-065  1.52964240E-065
  4.532500E-01  1.55146877E-027  1.55146877E-027  1.08614291E-037  4.32459381E-065  4.77784451E-065
  4.607000E-01  1.60182436E-027  1.60182436E-027  1.30011307E-037  1.33778570E-064  1.47642915E-064
  4.682600E-01  1.62734824E-027  1.62734824E-027  1.54740101E-037  4.07115636E-064  4.48862353E-064
  4.759600E-01  1.66260380E-027  1.66260380E-027  1.90167498E-037  1.22502754E-063  1.34937620E-063
  4.837700E-01  1.67925894E-027  1.67925894E-027  2.32060547E-037  3.62296712E-063  3.98719471E-063
  4.917200E-01  1.69823640E-027  1.69823640E-027  2.81850144E-037  1.05769924E-062  1.16306192E-062
  4.998000E-01  1.70684475E-027  1.70684475E-027  3.40615239E-037  3.04108121E-062  3.34139571E-062
  5.080100E-01  1.70893073E-027  1.70893073E-027  4.09691411E-037  8.60832115E-062  9.45126817E-062
  5.163500E-01  1.71074301E-027  1.71074301E-027  4.90755638E-037  2.39877700E-061  2.63184234E-061
  5.248300E-01  1.69684426E-027  1.69684426E-027  5.84698365E-037  6.58279434E-061  7.21765742E-061
  5.334500E-01  1.76731711E-027  1.76731711E-027  6.94658311E-037  1.77997015E-060  1.95043199E-060
  5.422200E-01  1.85318186E-027  1.85318186E-027  8.20346878E-037  4.74125864E-060  5.19229485E-060
  5.511200E-01  1.94962659E-027  1.94962659E-027  9.66801880E-037  1.24285699E-059  1.36037346E-059
  5.601800E-01  2.03752425E-027  2.03752424E-027  1.13260165E-036  3.21153642E-059  3.51338066E-059
  5.693800E-01  2.13444256E-027  2.13444256E-027  1.32378949E-036  8.17227959E-059  8.93600585E-059
  5.787300E-01  2.22601241E-027  2.22601241E-027  1.53888327E-036  2.04772412E-058  2.23805671E-058
  5.882400E-01  2.32642208E-027  2.32642208E-027  1.78394806E-036  5.06069009E-058  5.52879734E-058
  5.979000E-01  2.42354527E-027  2.42354527E-027  2.05868584E-036  1.23170505E-057  1.34508208E-057
  6.077200E-01  2.52063311E-027  2.52063310E-027  2.36717702E-036  2.95551102E-057  3.22630570E-057
  6.177000E-01  2.61759029E-027  2.61759028E-027  2.71261150E-036  6.99211778E-057  7.62994958E-057
  6.278500E-01  2.70967541E-027  2.70967540E-027  3.09502855E-036  1.63165325E-056  1.77987681E-056
  6.381600E-01  2.80508440E-027  2.80508440E-027  3.52243735E-036  3.75478333E-056  4.09465993E-056
  6.486400E-01  2.89022677E-027  2.89022677E-027  3.98829196E-036  8.52043576E-056  9.28912736E-056
  6.593000E-01  2.98275370E-027  2.98275370E-027  4.50979113E-036  1.91026952E-055  2.08200858E-055
  6.701300E-01  3.06149204E-027  3.06149204E-027  5.07099608E-036  4.22254345E-055  4.60107496E-055
  6.811300E-01  3.14756492E-027  3.14756492E-027  5.69424233E-036  9.21517651E-055  1.00387376E-054
  6.923200E-01  3.22088582E-027  3.22088582E-027  6.36328537E-036  1.98606915E-054  2.16313321E-054
  7.036900E-01  3.29692595E-027  3.29692594E-027  7.09588792E-036  4.22829138E-054  4.60442521E-054
  7.152500E-01  3.36379303E-027  3.36379303E-027  7.88125846E-036  8.89315438E-054  9.68267480E-054
  7.270000E-01  3.42840065E-027  3.42840064E-027  8.72993584E-036  1.84873219E-053  2.01239664E-053
  7.389400E-01  3.48811375E-027  3.48811374E-027  9.63994271E-036  3.79829059E-053  4.13398560E-053
  7.510800E-01  3.54031874E-027  3.54031873E-027  1.06080167E-035  7.71746427E-053  8.39850843E-053
  7.634200E-01  3.59257764E-027  3.59257763E-027  1.16489789E-035  1.55168428E-052  1.68834814E-052
  7.759600E-01  3.63196529E-027  3.63196528E-027  1.27379184E-035  3.08549288E-052  3.35705149E-052
  7.887000E-01  3.67636085E-027  3.67636084E-027  1.39118440E-035  6.07613837E-052  6.60989623E-052
  8.016600E-01  3.70374059E-027  3.70374058E-027  1.51222132E-035  1.18512550E-051  1.28916070E-051
  8.148300E-01  3.73974924E-027  3.73974923E-027  1.64311011E-035  2.29240048E-051  2.49321071E-051
  8.282100E-01  3.75912167E-027  3.75912165E-027  1.77703954E-035  4.39340143E-051  4.77759534E-051
  8.418100E-01  3.78298475E-027  3.78298473E-027  1.91981884E-035  8.36055296E-051  9.08961024E-051
  8.556400E-01  3.79563699E-027  3.79563697E-027  2.06662659E-035  1.58008999E-050  1.71751395E-050
  8.697000E-01  3.80798814E-027  3.80798811E-027  2.22072361E-035  2.96927947E-050  3.22666030E-050
  8.839800E-01  3.81469999E-027  3.81469996E-027  2.37983357E-035  5.54879648E-050  6.02774395E-050
  8.985000E-01  3.81667657E-027  3.81667655E-027  2.54409499E-035  1.03275387E-049  1.12142438E-049
  9.132600E-01  3.81870912E-027  3.81870909E-027  2.71535943E-035  1.91639240E-049  2.07985129E-049
  9.282600E-01  3.81159554E-027  3.81159551E-027  2.88884346E-035  3.54661317E-049  3.84642311E-049
  9.435100E-01  3.81044302E-027  3.81044299E-027  3.07174381E-035  6.55701788E-049  7.10655342E-049
  9.590100E-01  3.79578747E-027  3.79578744E-027  3.25360249E-035  1.21061476E-048  1.31094395E-048
  9.747600E-01  3.79311694E-027  3.79311690E-027  3.44790278E-035  2.23568458E-048  2.41841146E-048
  9.907700E-01  3.77699560E-027  3.77699556E-027  3.64000508E-035  4.12609100E-048  4.45852308E-048
  1.007000E+00  3.77014350E-027  3.77014346E-027  3.84284314E-035  7.60747734E-048  8.21087579E-048
  1.023600E+00  3.75493334E-027  3.75493330E-027  4.04676575E-035  1.40733766E-047  1.51709343E-047
  1.040400E+00  3.74492580E-027  3.74492576E-027  4.25876659E-035  2.59607717E-047  2.79500313E-047
  1.057500E+00  3.73233993E-027  3.73233989E-027  4.47433062E-035  4.78752538E-047  5.14756001E-047
  1.074900E+00  3.72110501E-027  3.72110496E-027  4.69646071E-035  8.81988980E-047  9.47094196E-047
  1.092500E+00  3.71272669E-027  3.71272664E-027  4.92552345E-035  1.61628089E-046  1.73341089E-046
  1.110500E+00  3.70187200E-027  3.70187195E-027  5.15954441E-035  2.96267248E-046  3.17348534E-046
  1.128700E+00  3.69923788E-027  3.69923782E-027  5.40629303E-035  5.39352354E-046  5.77065473E-046
  1.147200E+00  3.69033616E-027  3.69033610E-027  5.65366137E-035  9.76795572E-046  1.04394412E-045
  1.166100E+00  3.69458081E-027  3.69458075E-027  5.92383016E-035  1.76573775E-045  1.88515377E-045
  1.185200E+00  3.69113202E-027  3.69113196E-027  6.19257639E-035  3.15984699E-045  3.37027259E-045
  1.204700E+00  3.70111449E-027  3.70111443E-027  6.48818507E-035  5.63510871E-045  6.00498387E-045
  1.224500E+00  3.70613815E-027  3.70613808E-027  6.78865316E-035  9.96762187E-045  1.06129039E-044
  1.244600E+00  3.72059023E-027  3.72059016E-027  7.11360628E-035  1.74936444E-044  1.86115586E-044
  1.265100E+00  3.73483096E-027  3.73483089E-027  7.45451295E-035  3.05151497E-044  3.24419947E-044
  1.285800E+00  3.75433321E-027  3.75433313E-027  7.81704265E-035  5.26199973E-044  5.59058648E-044
  1.307000E+00  3.77792050E-027  3.77792042E-027  8.20755377E-035  9.03707346E-044  9.59550652E-044
  1.328400E+00  3.80291771E-027  3.80291762E-027  8.61912918E-035  1.53327661E-043  1.62707593E-043
  1.350200E+00  3.83579915E-027  3.83579905E-027  9.06941271E-035  2.58360261E-043  2.74016496E-043
  1.372400E+00  3.86618707E-027  3.86618698E-027  9.54334525E-035  4.31920115E-043  4.57869051E-043
  1.395000E+00  3.90838552E-027  3.90838542E-027  1.00699118E-034  7.16897866E-043  7.59634217E-043
  1.417900E+00  3.94471407E-027  3.94471396E-027  1.06178701E-034  1.17732850E-042  1.24695761E-042
  1.441200E+00  3.99453986E-027  3.99453975E-027  1.12310014E-034  1.91946339E-042  2.03217395E-042
  1.464800E+00  4.03899013E-027  4.03899001E-027  1.18729043E-034  3.09636030E-042  3.27696112E-042
  1.488900E+00  4.09301286E-027  4.09301273E-027  1.25832504E-034  4.96665970E-042  5.25451189E-042
  1.513400E+00  4.14511786E-027  4.14511772E-027  1.33394034E-034  7.89894521E-042  8.35399958E-042
  1.538200E+00  4.20211126E-027  4.20211112E-027  1.41584097E-034  1.24388349E-041  1.31513917E-041
  1.563500E+00  4.26062539E-027  4.26062524E-027  1.50413178E-034  1.94617653E-041  2.05701426E-041
  1.589200E+00  4.31997192E-027  4.31997176E-027  1.59890589E-034  3.01957483E-041  3.19067084E-041
  1.615300E+00  4.38374827E-027  4.38374810E-027  1.70143565E-034  4.64719368E-041  4.90938045E-041
  1.641800E+00  4.44402961E-027  4.44402943E-027  1.80999544E-034  7.09110051E-041  7.48914929E-041
