# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20_plaw-ed/NH  lamI_CM20_logn/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  3.549800E-01  5.91798859E-028  5.91798859E-028  3.92599858E-039  5.07650840E-073  5.70626582E-073
  3.608100E-01  6.57350942E-028  6.57350942E-028  5.14792624E-039  1.85014620E-072  2.07795046E-072
  3.667400E-01  7.21893430E-028  7.21893430E-028  6.68049377E-039  6.64238923E-072  7.45364973E-072
  3.727600E-01  7.93940507E-028  7.93940507E-028  8.63824380E-039  2.35716440E-071  2.64274398E-071
  3.788800E-01  8.61117192E-028  8.61117192E-028  1.10394854E-038  8.25672182E-071  9.24836624E-071
  3.851100E-01  9.36943871E-028  9.36943871E-028  1.40802428E-038  2.89534435E-070  3.23980772E-070
  3.914300E-01  1.00606393E-027  1.00606393E-027  1.77504079E-038  1.00066426E-069  1.11841395E-069
  3.978600E-01  1.08078164E-027  1.08078164E-027  2.22988499E-038  3.42304588E-069  3.82153358E-069
  4.044000E-01  1.14989887E-027  1.14989887E-027  2.77593853E-038  1.15974090E-068  1.29324948E-068
  4.110400E-01  1.21975239E-027  1.21975239E-027  3.43591625E-038  3.88590620E-068  4.32796813E-068
  4.177900E-01  1.28658704E-027  1.28658704E-027  4.22405369E-038  1.28886668E-067  1.43371880E-067
  4.246600E-01  1.34785107E-027  1.34785107E-027  5.15476493E-038  4.23552022E-067  4.70571511E-067
  4.316300E-01  1.41062406E-027  1.41062406E-027  6.26442378E-038  1.37414004E-066  1.52482676E-066
  4.387200E-01  1.45953958E-027  1.45953958E-027  7.53805237E-038  4.40859664E-066  4.88620013E-066
  4.459300E-01  1.51703052E-027  1.51703052E-027  9.09973028E-038  1.39911525E-065  1.54889152E-065
  4.532500E-01  1.55148160E-027  1.55148160E-027  1.08623045E-037  4.37458378E-065  4.83755875E-065
  4.607000E-01  1.60183746E-027  1.60183746E-027  1.30021590E-037  1.35311771E-064  1.49472620E-064
  4.682600E-01  1.62736126E-027  1.62736126E-027  1.54752119E-037  4.11734966E-064  4.54370051E-064
  4.759600E-01  1.66261703E-027  1.66261703E-027  1.90181997E-037  1.23877027E-063  1.36574773E-063
  4.837700E-01  1.67927222E-027  1.67927222E-027  2.32077915E-037  3.66310504E-063  4.03497099E-063
  4.917200E-01  1.69824965E-027  1.69824965E-027  2.81870832E-037  1.06925925E-062  1.17681091E-062
  4.998000E-01  1.70685817E-027  1.70685817E-027  3.40639808E-037  3.07384072E-062  3.38032877E-062
  5.080100E-01  1.70894406E-027  1.70894405E-027  4.09720404E-037  8.69964920E-062  9.55972567E-062
  5.163500E-01  1.71075637E-027  1.71075636E-027  4.90789768E-037  2.42382433E-061  2.66156675E-061
  5.248300E-01  1.69685761E-027  1.69685761E-027  5.84738265E-037  6.65040547E-061  7.29783979E-061
  5.334500E-01  1.76733122E-027  1.76733122E-027  6.94704861E-037  1.79794402E-060  1.97173424E-060
  5.422200E-01  1.85319683E-027  1.85319683E-027  8.20400881E-037  4.78830783E-060  5.24802249E-060
  5.511200E-01  1.94964256E-027  1.94964256E-027  9.66864348E-037  1.25497329E-059  1.37471666E-059
  5.601800E-01  2.03754144E-027  2.03754144E-027  1.13267356E-036  3.24228409E-059  3.54975912E-059
  5.693800E-01  2.13446108E-027  2.13446108E-027  1.32387207E-036  8.24910179E-059  9.02684863E-059
  5.787300E-01  2.22603244E-027  2.22603244E-027  1.53897752E-036  2.06662024E-058  2.26038995E-058
  5.882400E-01  2.32644375E-027  2.32644375E-027  1.78405537E-036  5.10652391E-058  5.58294288E-058
  5.979000E-01  2.42356888E-027  2.42356888E-027  2.05880760E-036  1.24265225E-057  1.35800842E-057
  6.077200E-01  2.52065878E-027  2.52065878E-027  2.36731472E-036  2.98128583E-057  3.25672691E-057
  6.177000E-01  2.61761864E-027  2.61761864E-027  2.71276652E-036  7.05194530E-057  7.70053221E-057
  6.278500E-01  2.70970641E-027  2.70970640E-027  3.09520235E-036  1.64535001E-056  1.79602930E-056
