# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_0.4x/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.521200E-01  2.03128602E-030  2.03128602E-030  2.56964615E-163  7.93797819E-236
  2.562700E-01  2.47759626E-030  2.47759626E-030  2.47638711E-161  1.28033202E-232
  2.604700E-01  3.02558612E-030  3.02558612E-030  2.16290034E-159  1.76968779E-229
  2.647500E-01  3.70492845E-030  3.70492845E-030  1.77184943E-157  2.21079637E-226
  2.691000E-01  4.54333690E-030  4.54333690E-030  1.35077202E-155  2.45680474E-223
  2.735200E-01  5.57597042E-030  5.57597042E-030  9.58551513E-154  2.42880665E-220
  2.780200E-01  6.84955856E-030  6.84955856E-030  6.39242560E-152  2.16934232E-217
  2.825800E-01  8.40776187E-030  8.40776187E-030  3.92917451E-150  1.69730618E-214
  2.872200E-01  1.03173079E-029  1.03173079E-029  2.26418336E-148  1.19702478E-211
  2.919400E-01  1.26530639E-029  1.26530639E-029  1.22627665E-146  7.62184585E-209
  2.967400E-01  1.54997682E-029  1.54997682E-029  6.24211069E-145  4.38108159E-206
  3.016100E-01  1.89524660E-029  1.89524660E-029  2.96265748E-143  2.24379395E-203
  3.065700E-01  1.54343565E-029  1.54343565E-029  1.33230675E-141  1.05065015E-200
  3.116000E-01  1.64524945E-029  1.64524945E-029  5.57391439E-140  4.37341760E-198
  3.167200E-01  1.78744014E-029  1.78744014E-029  2.20923626E-138  1.66332787E-195
  3.219200E-01  2.00340168E-029  2.00340168E-029  8.23787425E-137  5.71334474E-193
  3.272100E-01  2.30489944E-029  2.30489944E-029  2.91007437E-135  1.79224852E-190
  3.325800E-01  2.68491683E-029  2.68491683E-029  9.67653032E-134  5.08015774E-188
  3.380500E-01  3.12300798E-029  3.12300798E-029  3.06564860E-132  1.32700500E-185
  3.436000E-01  3.57401584E-029  3.57401584E-029  9.14085463E-131  3.13110911E-183
  3.492400E-01  3.96452085E-029  3.96452085E-029  2.58354585E-129  6.74788370E-181
  3.549800E-01  4.18568306E-029  4.18568306E-029  6.96242393E-128  1.34076421E-178
  3.608100E-01  4.12650541E-029  4.12650541E-029  1.77880026E-126  2.43305179E-176
  3.667400E-01  3.78269587E-029  3.78269587E-029  4.33156761E-125  4.06749017E-174
  3.727600E-01  3.30080896E-029  3.30080896E-029  9.99865284E-124  6.20851004E-172
  3.788800E-01  2.84649063E-029  2.84649063E-029  2.20107002E-122  8.73516138E-170
  3.851100E-01  2.48426090E-029  2.48426090E-029  4.64373571E-121  1.14165614E-167
  3.914300E-01  2.20375733E-029  2.20375733E-029  9.29829090E-120  1.36465462E-165
  3.978600E-01  1.98017238E-029  1.98017238E-029  1.78472028E-118  1.51501883E-163
  4.044000E-01  1.80045028E-029  1.80045028E-029  3.28165786E-117  1.56077882E-161
  4.110400E-01  1.66672588E-029  1.66672588E-029  5.75925955E-116  1.48248178E-159
  4.177900E-01  1.58233220E-029  1.58233220E-029  9.69031117E-115  1.30758863E-157
  4.246600E-01  1.54528743E-029  1.54528743E-029  1.57000697E-113  1.07782975E-155
  4.316300E-01  1.54932696E-029  1.54932696E-029  2.43043061E-112  8.19810554E-154
  4.387200E-01  1.58829530E-029  1.58829530E-029  3.62246196E-111  5.82338326E-152
  4.459300E-01  1.65227637E-029  1.65227637E-029  5.20078151E-110  3.86363144E-150
  4.532500E-01  1.72616434E-029  1.72616434E-029  7.17376991E-109  2.38171224E-148
  4.607000E-01  1.79225420E-029  1.79225420E-029  9.58014676E-108  1.37954585E-146
  4.682600E-01  1.83521817E-029  1.83521817E-029  1.23077642E-106  7.42801002E-145
  4.759600E-01  1.85701668E-029  1.85701668E-029  1.53687384E-105  3.77536218E-143
  4.837700E-01  1.87667012E-029  1.87667012E-029  1.84664370E-104  1.78259388E-141
  4.917200E-01  1.91943372E-029  1.91943372E-029  2.15961673E-103  7.94630555E-140
  4.998000E-01  1.99549246E-029  1.99549246E-029  2.45138189E-102  3.32768063E-138
  5.080100E-01  2.10307566E-029  2.10307566E-029  2.70196104E-101  1.30932461E-136
  5.163500E-01  2.23220260E-029  2.23220260E-029  2.89269465E-100  4.84145977E-135
  5.248300E-01  2.36655374E-029  2.36655374E-029  3.01288355E-099  1.68781167E-133
  5.334500E-01  2.48159804E-029  2.48159804E-029  3.05586886E-098  5.55375189E-132
  5.422200E-01  2.55357465E-029  2.55357465E-029  3.02523956E-097  1.73185502E-130
  5.511200E-01  2.57815514E-029  2.57815514E-029  2.90655223E-096  5.07889401E-129
  5.601800E-01  2.58480787E-029  2.58480787E-029  2.72908365E-095  1.41690384E-127
  5.693800E-01  2.60734040E-029  2.60734040E-029  2.48933279E-094  3.73192153E-126
  5.787300E-01  2.66238009E-029  2.66238009E-029  2.20968537E-093  9.31621587E-125
  5.882400E-01  2.75158451E-029  2.75158451E-029  1.91170391E-092  2.21209166E-123
  5.979000E-01  2.87136069E-029  2.87136069E-029  1.60696566E-091  4.97976484E-122
  6.077200E-01  3.01858285E-029  3.01858285E-029  1.31439012E-090  1.06640852E-120
  6.177000E-01  3.19050506E-029  3.19050506E-029  1.04548845E-089  2.17278148E-119
  6.278500E-01  3.38588325E-029  3.38588325E-029  8.10032354E-089  4.22530933E-118
  6.381600E-01  3.60367842E-029  3.60367842E-029  6.09614502E-088  7.81870186E-117
  6.486400E-01  3.84386312E-029  3.84386312E-029  4.46363188E-087  1.38084830E-115
  6.593000E-01  4.10623112E-029  4.10623112E-029  3.18480582E-086  2.33383446E-114
  6.701300E-01  4.39144691E-029  4.39144691E-029  2.20985150E-085  3.76516699E-113
  6.811300E-01  4.70061397E-029  4.70061397E-029  1.49151093E-084  5.79972139E-112
  6.923200E-01  5.03390842E-029  5.03390842E-029  9.82643078E-084  8.57267638E-111
  7.036900E-01  5.39256257E-029  5.39256257E-029  6.30992526E-083  1.21308776E-109
